ChEMBL ID of Ligand	O00141	O00182	O00214	O00222	O00329	O00444	O00506	O00625	O00750	O14578	O14640	O14730	O14757	O14920	O14936	O14965	O14976	O15075	O15111	O15146	O15151	O15197	O15264	O15379	O15392	O15530	O43172	O43283	O43293	O43318	O43497	O43570	O43603	O43613	O43614	O43683	O60285	O60331	O60341	O60674	O60755	O60760	O75116	O75311	O75385	O75460	O75582	O75676	O75747	O75936	O76039	O76074	O94804	O94806	O94921	O94925	O95382	O95622	O95665	O95747	O95819	O95835	O96013	O96017	P00338	P00374	P00488	P00491	P00519	P00533	P00742	P00747	P00749	P00797	P00915	P00918	P01008	P01106	P01112	P01116	P01213	P01374	P01375	P01730	P02724	P02768	P03951	P04049	P04054	P04271	P04278	P04406	P04439	P04798	P04818	P05067	P05089	P05106	P05121	P05129	P05162	P05164	P05181	P05230	P05413	P05771	P06213	P06276	P07148	P07288	P07306	P07327	P07333	P07339	P07451	P07477	P07550	P07900	P07947	P07948	P07949	P08069	P08235	P08238	P08246	P08581	P08588	P08631	P08684	P08908	P09038	P09382	P09429	P09619	P09651	P09960	P0C1S8	P0C264	P0DMS8	P0DMV8,P0DMV9	P0DP25,P0DP23,P0DP24	P10253	P10275	P10276	P10826	P10827	P10828	P11086	P11142	P11308	P11362	P11473	P11802	P12644	P13500	P13501	P13631	P13945	P14174	P14210	P14324	P14416	P14616	P14780	P14867	P14902	P14920	P15056	P15088	P15328	P15692	P15735	P16050	P16083	P16234	P16389	P16442	P16471	P17252	P17612	P17658	P17752	P17931	P17948	P18031	P19525	P19784	P19793	P20248	P20273	P20309	P20393	P20701	P20794	P20916	P21452	P21453	P21462	P21554	P21741	P21802	P21860	P22001	P22303	P22307	P22607	P22694	P22736	P22748	P23284	P23443	P23458	P23946	P23975	P24046	P24557	P24593	P24723	P24941	P25025	P25098	P25103	P25774	P25929	P26006	P27037	P27361	P27487	P27695	P27986	P28221	P28222	P28223	P28335	P28476	P28482	P28702	P28845	P29274	P29275	P29317	P29320	P29322	P29323	P29350	P29353	P29371	P29375	P29376	P29401	P29475	P29597	P30291	P30411	P30531	P30536	P30542	P30556	P30989	P31152	P31644	P31645	P31939	P32238	P32239	P32246	P32297	P32298	P32745	P33981	P34903	P34969	P34972	P34998	P35218	P35222	P35228	P35346	P35348	P35354	P35367	P35372	P35557	P35590	P35790	P35916	P35968	P36507	P36544	P36888	P36896	P37173	P37231	P38398	P41143	P41145	P41146	P41240	P41586	P41594	P42224	P42226	P42262	P42336	P42338	P42345	P42679	P42680	P42684	P42685	P43116	P43166	P43354	P43403	P43405	P43490	P43681	P45974	P45983	P45984	P45985	P46059	P46098	P46734	P47211	P47712	P47929	P48039	P48061	P48443	P48547	P48729	P48736	P49137	P49146	P49286	P49336	P49354	P49759	P49760	P49763	P49773	P49840	P49841	P50549	P50613	P50750	P51178	P51451	P51531	P51532	P51677	P51812	P51813	P51817	P51956	P51957	P52209	P52333	P52564	P52732	P53350	P53355	P53667	P53671	P53778	P53779	P53985	P54619	P54753	P54756	P54760	P54762	P54764	P54829	P55212	P55263	P55899	P56470	P56524	P56704	P56817	P57058	P57059	P57078	P61586	P62508	P62834	P62937	P62942	P62993	P68104	P68106	P68400	P78356	P78362	P78368	P78527	P80370	P84077	Q00535	Q00537	Q00987	Q01959	Q02156	Q02750	Q02763	Q02779	Q02790	Q03431	Q04609	Q04759	Q04771	Q05397	Q05639	Q05655	Q05823	Q05940	Q06124	Q06187	Q06418	Q06609	Q07817	Q07820	Q07912	Q08209	Q08345	Q08752	Q08881	Q09013	Q09428	Q09472	Q12809	Q12830	Q12852	Q12866	Q12931	Q13093	Q13126	Q13133	Q13163	Q13188	Q13224	Q13233	Q13237	Q13285	Q13304	Q13418	Q13451	Q13464	Q13470	Q13526	Q13547	Q13554	Q13627	Q13698	Q13705	Q13873	Q13882	Q13936	Q13976	Q14004	Q14012	Q14164	Q14397	Q14451	Q14573	Q14643	Q15046	Q15109	Q15139	Q15172	Q15208	Q15303	Q15349	Q15382	Q15391	Q15418	Q15465	Q15569	Q15717	Q15746	Q15759	Q15831	Q15835	Q16512	Q16513	Q16539	Q16566	Q16572	Q16584	Q16602	Q16659	Q16696	Q16790	Q16816	Q16832	Q2M2I8	Q32MK0	Q52WX2	Q56UN5	Q58F21	Q59H18	Q5S007	Q5VT25	Q6DT37	Q6P3R8	Q6PHR2	Q6PL18	Q6V1X1	Q6XUX3	Q6Y7W6	Q6ZN16	Q7KZI7	Q7L7X3	Q86UE8	Q86UX6	Q86V86	Q86Y07	Q86YV6	Q86Z02	Q8IU85	Q8IVH8	Q8IVW4	Q8IW41	Q8IWQ3	Q8IY84	Q8IYT8	Q8N474	Q8N4C8	Q8N568	Q8N5S9	Q8N752	Q8NE63	Q8NEB9	Q8NER1	Q8NEV4	Q8NFD2	Q8NG66	Q8NG68	Q8NI60	Q8TBX8	Q8TD08	Q8TD19	Q8TDC3	Q8TDR2	Q8TDX7	Q8TEK3	Q8WTQ7	Q8WU08	Q8WUI4	Q8WXR4	Q92630	Q92753	Q92769	Q92793	Q92831	Q92843	Q92847	Q92918	Q92934	Q93088	Q96BR1	Q96CA5	Q96D53	Q96EB6	Q96GD4	Q96L34	Q96NX5	Q96Q40	Q96RI1	Q96RR4	Q96SB4	Q99062	Q99418	Q99640	Q99705	Q99720	Q99755	Q99759	Q99808	Q99814	Q99816	Q9BQI3	Q9BRS2	Q9BUB5	Q9BVS4	Q9BWU1	Q9BXA7	Q9BY41	Q9BYT3	Q9BZL6	Q9BZP6	Q9C098	Q9C0B1	Q9GZQ6	Q9GZT9	Q9H093	Q9H1R3	Q9H244	Q9H2G2	Q9H2K8	Q9H2S1	Q9H2X6	Q9H3N8	Q9H3Y6	Q9H422	Q9H4B4	Q9H4B7	Q9H7Z6	Q9H9B1	Q9HAZ1	Q9HBH9	Q9HC97	Q9HC98	Q9HCP0	Q9NNX6	Q9NPI1	Q9NPI8	Q9NQU5	Q9NRH2	Q9NRM7	Q9NRP7	Q9NRR2	Q9NSY1	Q9NWZ3	Q9NY57	Q9NYL2	Q9NYY3	Q9P0X4	Q9P1W9	Q9P286	Q9P289	Q9P2K8	Q9UBE8	Q9UBM7	Q9UBN7	Q9UBS5	Q9UEE5	Q9UEW8	Q9UF33	Q9UIF8	Q9UIK4	Q9UK32	Q9UKI8	Q9UKP6	Q9ULK4	Q9ULX7	Q9UM73	Q9UPE1	Q9UPZ9	Q9UQ88	Q9UQB9	Q9UQM7	Q9Y233	Q9Y243	Q9Y251	Q9Y259	Q9Y271	Q9Y2D0	Q9Y2H1	Q9Y2H9	Q9Y2T6	Q9Y2U5	Q9Y478	Q9Y572	Q9Y5N1	Q9Y5S2	Q9Y5X5	Q9Y5Y4	Q9Y616	Q9Y6E0	Q9Y6M4	Q9Y6R4
CHEMBL10										1260.0							96.0					3100.0																2600.0																							11100.0								6500.0	37909.0																		2940.0																																						7900.0																																										3243.0																																																																												6800.0								2000.0																		7500.0																		28800.0			9000.0	5400.0																		9800.0									4500.0	485.0												75.0												5100.0																						6200.0	150.0																																																												3000.0														1400.0																		20700.0															4800.0				640.0					460.0					21345.1									10000.0						10500.0		18600.0	1200.0																											3400.0																	1300.0															9300.0																																				15700.0																						4760.0				6300.0	13200.0							75.0						2400.0			275.0																								8100.0						
CHEMBL1000																																																																																																																																																																																																																																																																																																																																																																																																																							90000.0																																																																																																																																																																																																																																																																											
CHEMBL100297																																																																																																																																																																																																				10.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
CHEMBL100298																																																																																																																																																																																																				3.98																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
CHEMBL100623																																																																																																																																																																																												31.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CHEMBL100986																																																																																																																																																																																												818.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CHEMBL101035																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								300.0																																																																																																																																																																																										
CHEMBL101212																																																																																																																																																																																												96.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CHEMBL101302																																																																																																																																																																																												137.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CHEMBL101609																																																																																																																																																																																												27.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CHEMBL101661																																																																																																																																																																																												28.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CHEMBL101666																																																																																																																																																																																												113.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CHEMBL101712																																																																																																																																																																																												105.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CHEMBL10188																																																																																																																																																																																																																																																							11.5																																																																																																																																																																																																																																																																																																																																																																																																																																											
CHEMBL101892																																																																																																																																																					6536.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
CHEMBL102																																																																																						12000.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
CHEMBL102039																																																																																																																																																																																												130.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CHEMBL1023																																																																																																																																																																																												4220.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CHEMBL1025																																																																																																																																																																																																												13000.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CHEMBL1027																																																																																																																																																																																																																																																															188.0																																																																																																																																																																																																																																																																																																																																																																																																																																			
CHEMBL103																																																																																											115.0																																0.39																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
CHEMBL1036																																																																																																																																																																		182.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
CHEMBL103667										6300.0										5700.0			78.0							150.0																							31.1								270.0								43519.0	72625.0																																											24300.0						14700.0	8100.0	985.0													4300.0																	12900.0																	5427.0							3600.0									820.0																																																									21700.0	2340.0	950.0	1320.0					2800.0																					11100.0														24.900000000000002		23800.0	14900.0			14818.0																			1300.0	3960.0									9100.0	32.1																	660.0									3100.0			2040.0																	54.9	454.0				5500.0		18900.0	12600.0																											6390.0						71.0							14200.0													7.6									11100.0																										1100.0																					3227.2					23.339									153.0								28200.0	3600.0																								310.0								3000.0					9000.0																																											6300.0		600.0													536.0												5900.0															2580.0							3000.0						6370.0																											2730.0						
CHEMBL103741																																																																																																																																																																																																																																																																																																															9800.0																																																																																																																																																																																																																																																																																																																																																																																			
CHEMBL104042																																																																																																																																																																																																																																																																																										0.22													20.0																																																																																																																																																																																																																																																																																																																																																																																											
CHEMBL104119																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								2000.0																																																																																																																																																																																										
CHEMBL104264																																											79.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
CHEMBL104749																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								46.0																																																																																																																																																																																										
CHEMBL1049																																																																																																																				1148154.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
CHEMBL104973																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								14.0																																																																																																																																																																																										
CHEMBL104991																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								1.1																																																																																																																																																																																										
CHEMBL105060																																																																																																																																																																																																				53.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
CHEMBL105248																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								5.9																																																																																																																																																																																										
CHEMBL105442																																																																																																																																						3100.0																																																																																																																																																										370.0																																																																																																																						120.0																																																																																																																																																																																																																																																							1800.0	3400.0																				
CHEMBL105672CHEMBL283013																																																																																																																																																																																																																																																																																																																																																																																																																																																																												18.0																																																																																																																																																																																																																						
CHEMBL105805																																																																																																																																																																																												520.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CHEMBL105979																																																																																																																																																																																												110.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CHEMBL105983																																																																																																																																																		18.2	16.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
CHEMBL106115																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								4.8																																																																																																																																																																																										
CHEMBL106527																																																																																																																																																7.0	1470.0												5600.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
CHEMBL106708																																																																																																																																																																																																																																																																																																																																																																																																																																							900000.0																																																																																																																																										400000.0																																																																																																																	
CHEMBL106817																																																																																																																																																																																												670.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CHEMBL106837																																																																																																																																																																																												176.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CHEMBL106848																																4000.0																																											990.0	460.0																																																																																																																																																																																																																																												680.0																																																																																																																																																																																																																																																																																																																																																																										
CHEMBL106896																																																																																																																																																																																												46.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
CHEMBL107054																																																																																																																																																3.0													5600.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
CHEMBL107161																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								9.4																																																																																																																																																																																										
CHEMBL107400																																																																																																																																																		5.4	0.467																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
CHEMBL107430																																																																																																																																																3.0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
CHEMBL107499																																																																																																																																																																																																																																																																	0.99																																																																																																																																																																																																																																																																																																																																																																																																																																	
CHEMBL1075622																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							79000.0																																																																																											
CHEMBL1075913																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							38000.0																																																																																											
