,MTOR,LRRK2,ROS1,CIT,TRPM6,MYLK,MRCKA,GCN2(KinDom2S808G),PIK3C2B,ALK,MYO3A,MAP3K4,MAST1,DMPK2,MAP3K1,PIK3C2G,DAPK1,MST1R,MET,INSR,ASK1,FLT4,TNIK,ROCK1,ERBB3,FLT1,YSK4,STK36,GAK,INSRR,QSK,NEK1,SLK,TAOK2,HIPK3,TYK2(JH1domain-cata,ABL1(E255K),BIKE,TIE2,JAK2(JH1domain-cata,LATS1,PIK3CG,PDGFRA,FAK,PIK3CB,PIK3CA,ULK1,BMPR2,TNK2,CDKL5,EPHB6,EPHA5,PYK2,PRP4,MERTK,FLT3,PKN2,EPHA3,NEK9,ERN1,KIT,PLK4,LOK,LZK,MLK2,PKN1,RIPK5,CASK,SIK2,DDR1,PRKD1,MAP4K3,TYRO3,MUSK,TTK,DDR2,TRKC,TNNI3K,HPK1,FER,FGFR1,MLCK,ERK5,PIK4CB,RPS6KA5(KinDom.1-N-,ZAK,MARK1,TRKA,RIPK4,BRSK1,TLK2,BRAF,DCAMKL2,ANKK1,SNRK,DYRK1A,PRKG2,IKK-beta,RSK4(KinDom.1-N-ter,PRKCE,TBK1,ERK3,PAK7,HUNK,IRAK1,NEK5,SRPK2,PLK2,PRKCD,BMX,PRKG1,RIPK1,PIP5K1C,CAMK2B,TNK1,ARK5,MELK,DCAMKL3,ADCK3,LIMK1,WEE1,NEK11,CLK3,SYK,ICK,EIF2AK1,MAP3K3,PKNB(Mtuberculosis),ZAP70,HIPK4,TAK1,PLK1,DYRK2,BLK,IRAK3,PRKCI,CDKL3,CAMKK2,GRK4,RIOK1,TGFBR2,AMPK-alpha1,PAK3,PDPK1,RIOK2,STK39,ERK8,CHEK2,CDC2L1,RIPK2,STK35,BMPR1A,NLK,PFCDPK1(Pfalciparum,PCTK2,RIOK3,STK33,ACVR2A,PRKR,VRK2,CTK,NEK3,CDK11,PKMYT1,SGK3,MST2,YANK3,BTK,GSK3A,AKT2,TRKB,CAMK1G,CHEK1,CAMK4,MAPKAPK5,ULK3,MKNK1,JNK3,IRAK4,RET,NEK4,MEK5,CSNK1G3,NEK2,MST3,NIM1,LKB1,SBK1,PIP5K2C,MKK7,DRAK1,PHKG2,PIM1,AURKA,MAPKAPK2,MEK2,CSNK2A1,MLK1,CDK9,TSSK1B,SgK110,MEK3,CDK7,CDC2L5,NEK6,STK16
44259,5.0,7.992030638154017,7.158145647243312,6.179700719081151,5.0,6.911376593859156,6.239225015989485,7.864010517865947,5.094665552121733,6.7461181416644775,5.920407444633503,5.501948468660519,7.088800513012887,6.0112860890869895,5.6041597597211785,6.416309617576776,7.205288338845583,5.494708718762773,6.532832834065604,5.828624340758622,6.615407564418237,6.717720484102394,7.561087171451975,7.386560318752138,6.28709493405882,6.697171660373783,8.724468982021984,5.198047200227454,7.44214820729482,5.945414158672681,7.755611615526102,5.555853846694799,8.244432677705303,6.938513007084553,6.0916375663626035,,6.181008987312338,7.908914188709698,6.330704584814671,,6.76494955869051,5.733553150182139,7.352847528478738,6.050809113619295,5.095310867661868,5.277032917447497,6.72143107728806,5.487393634975575,7.632384945251527,6.191416435585525,5.677664261154768,5.686825685333155,7.3412013877960405,6.725617313396435,7.176217233873747,8.50475136647029,8.390232075722992,5.84579427441259,5.258748182114252,7.186726004525332,7.5221900272823365,8.372624693409989,8.301690469539457,5.93312886862734,7.403921147312253,8.39776594317948,7.187411195768423,6.400910819723094,7.595661918819675,6.385447908839322,6.90528196059235,7.172579761761553,5.913309537338308,5.817572564012232,7.285896254665367,6.258230239424712,7.130991373855071,5.5592602350886935,7.24166801905196,6.693919986802327,6.146950932133037,6.646574170039929,5.225076656902729,5.958281390139824,,5.057975065766391,7.615656129983793,7.6330261065597185,6.614887987511646,7.2578006689434105,6.586157265673829,5.0,5.740345323490995,6.354495419173702,5.681919163520225,7.444806673981499,7.50956942964702,7.055443735174241,7.311088068216357,7.27584135831516,7.978961949297627,5.0847730510276214,7.178838407867283,6.357174071039217,6.87087005788709,5.447775651371717,7.411541433556885,5.809947806019907,7.312849173637602,6.029414426182671,6.940333867726998,5.0,6.1479172642766455,8.081703011551378,7.904832983465984,8.406953790338322,7.2064515602696915,6.242719464487834,5.0,5.575922552933786,5.359385641387405,5.169546102055242,6.907435460550786,7.643888562294248,6.131423521554389,5.0,7.374148484795797,6.4383848794518626,6.91248466429569,6.418373509542991,7.532527949031127,6.1262745727416545,6.419879103501919,6.500464634280621,7.4755547199779775,6.109918048975292,5.8863204561074935,8.281621683802834,7.8379722508871765,6.9508776307354045,5.422535413392343,7.381409776237043,7.350093511934393,7.98643952020888,6.198696285335476,5.7163535498428,6.637014669286143,6.269516328511702,5.600216162526968,5.492605560793771,5.981795648481037,5.85727502698791,5.923695531335103,,6.021805888075649,7.203148797382942,7.6836668486576825,5.235021426064111,6.17522238748261,5.0,5.866084972587646,5.0,5.542208956587671,5.0,7.5196550179055235,8.444026454227071,5.891899593676309,6.286078923241404,6.147689861914121,6.17263709569863,7.594242224623559,6.92499992700209,7.644582879343679,5.9700316295202,5.866717762429026,7.705559773872341,6.944510414878359,6.411770261343193,7.513034052414484,7.648811863003329,5.0,7.230834654028929,5.337349198069992,5.478247552193262,6.249856929494219,5.866199819739485,6.971575754988822,6.7312733420053705,6.071145500927538,6.836202326012271,7.3478798154422265,8.186512422359428,7.285171776371481,7.556224884743951,5.897929830610746,7.015915003757848,5.710566538024274,8.093280232198014,6.091908043466404,6.64910714840677,6.507626248426779,7.292594707242391,6.469089411202013,6.051633986661915,5.183545803068418,6.947574867848655
644241,5.0,5.0,5.0,5.0,5.0,5.0,5.115662067519878,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.07446386587638,5.0,5.0,5.0,5.333333333333333,5.0,5.0,5.0,5.0,5.1219392467428895,5.0,,7.043554475303497,5.0,5.333333333333333,,5.0,5.0,7.486949268421633,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.354120738150794,5.478931680352943,5.0,5.0,5.0,5.009555211930782,5.0,5.5470637165324606,5.0,5.0,7.139436760956046,5.03596846576984,5.055830362431254,5.0,5.0,5.0,5.0,5.0,5.0,8.724663340736301,5.0,5.0,5.0,5.0,5.0,7.630140484365204,5.407282916538786,5.603409681217709,5.175101665559182,5.0,5.0,5.0,5.210052203752841,5.0,,6.552381080566158,5.0,5.0,5.0,5.0,5.0,5.490930694395918,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.306939584650792,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.240415466349057,5.0,5.0,5.0,5.0,5.0,5.154257545669812,5.0,5.0,5.0,5.0,5.0,5.0,5.339242922320143,5.0,5.0,5.0,6.065761565050221,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.256517026207242,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.043272885084293,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.436601306657162,5.0,5.0,5.0,5.0,5.0,5.0,5.257666483235621,5.0,5.168257338518597,5.0,5.573748799682391,5.0,5.0,5.0,5.0,5.0,5.0,5.24595562187217,5.0,5.091908043466404,5.0,5.2254137945846555,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5329102,5.0,7.093840796528864,5.0,6.217903769686901,5.0,7.078824557628726,5.0,6.536314818480488,5.0,6.050208300773001,5.427324439178037,5.159379381312206,6.610924374808178,5.0,5.0,5.0,6.823986184216391,5.0,5.314373070210913,5.7017188504113845,5.301145900274256,8.016060224063672,7.130911501600561,6.323097237762673,5.079334164834046,8.536314818480488,7.84518491628705,5.0,7.527758663924915,6.032750774378217,5.0,5.0,6.7945270706561125,5.859641293123212,7.0476423509939785,,6.199257067888977,7.741834231411668,5.163265134325252,,6.153666326363343,5.0,9.43088024056517,6.1386830387330935,5.0,5.0,7.44940040066225,6.471547574331764,5.180206956663287,5.026858484877124,5.601018176832866,5.340101252040128,6.65401744861632,6.147496020333332,7.471740230246526,8.631362637405676,5.6531365255381765,5.228086396926777,5.0,5.971547574331764,8.434609277830862,6.732986946971932,7.179759281514789,6.635423651970496,5.413901931578723,5.934994025164048,5.958786849569615,5.0,5.856249250141618,5.349485002168009,6.0169866580448526,6.8331507721808435,6.46479633912994,6.654901959985743,6.972693472721556,5.270983403751748,5.975003571539928,5.0,7.2177064742580574,6.111214291189988,6.0280110799872455,7.261518298150791,5.000363733783537,5.0,,5.0,6.012300510783375,6.659379381312206,5.33889035263304,5.525696352358936,6.3453875066946415,5.0,5.9229675245531945,6.652259161754901,6.008864383480216,6.126823868094197,5.0,5.683411496015896,7.0713337517843655,5.084866507998191,6.560766461105652,5.0,5.709792724988742,7.366414135798493,7.719449308175472,5.0,6.595030524282238,5.0819755355160705,5.0,5.575912880842542,5.0,6.17630851494269,5.5384157219675485,6.207585179798471,5.995699914119041,6.7194624201397986,6.4622265193037345,6.789198036565084,5.0,5.0,5.370371515030528,5.0,6.595476944639981,5.0,5.562180224004164,5.0,6.890314587166295,6.777665384530738,5.0,6.404554141538915,7.015758525723033,5.0,6.026773867493463,6.196625734181453,5.874059272723736,5.0,5.341885676953819,5.968325129040021,6.47575153235976,6.84253997200379,5.0,7.077364598625826,5.752854402731875,5.520479303839453,7.081837942146624,6.323001914121366,5.170640485761272,7.698970004336019,5.0,5.0,6.986121397654723,5.087632252851783,5.0,,5.75632442922816,5.216722334558472,7.3278038631574445,5.0,6.029990922496168,5.0,5.160558792664633,5.0,5.0,5.0,6.629818655252878,7.2615504157728195,5.0,5.537860356969059,5.0,5.094772705973502,6.116756396880153,6.030631980900966,6.221848749616356,5.80962311459805,5.27642098432889,7.376750709602099,5.3012819179272075,5.238937982757954,7.133321106037208,7.81931778674983,5.0,7.231090452463363,6.586126797625875,5.906239639581768,6.688661015826672,6.014594194563741,6.931956951307951,6.453289157418883,5.998490511250671,5.42540131519641,8.309894379144197,7.642426801621885,5.206596252762798,6.067896810876967,5.0,6.969747997828708,6.271440663058065,5.526773867493463,5.0,5.100329725273209,5.511138197355576,5.71356419889976,6.256501555784089,5.0,5.525978728644178,6.369368565603754
216239,5.0,5.344705929556241,5.384775539310863,6.245802483433473,5.0,5.0,5.0,5.0,5.0,5.662437995416459,6.1529196271248265,5.0,5.0,5.0,5.372363747448347,5.0,5.061856252710012,5.659379381312206,5.586472109204817,5.164394329794448,5.016151668834676,6.96780328533935,6.4190161198084255,5.558211033479455,5.407055714380374,7.287069927461079,6.962591779677412,5.6531365255381765,5.4430283238465815,5.426935982160881,5.0,5.1419983281826,6.8191360819912035,6.745933685705949,6.8186254482384925,,6.797823413747791,5.0,7.526030048427015,,5.3160701990763375,5.0,7.574889450849279,5.0,5.0,5.0,5.468873943791429,5.0,5.0,6.234511988380163,5.647899166410904,6.190732341533873,5.6419983281826,5.0,5.8666021014294705,8.1473787182504,5.0,5.854247309371846,5.372363747448347,5.110924374808178,7.535787028698966,5.173393743112328,7.9300604567993815,5.433207067899247,5.099485002168009,5.0,5.721848749616356,5.0,5.192387769655431,8.992529825103531,5.461167314934642,5.993264593010243,5.0,7.697347476929445,6.047102059816066,8.069531689649953,6.84518491628705,6.661196523639753,5.999134866972623,5.668211371897642,5.544191771458327,5.4417052668148935,5.803315986363888,5.0,,8.419465807264412,5.0,5.847754736113256,5.872363747448347,5.0,5.0,6.36300497232493,5.0,5.600329725273209,5.0,5.0,5.0,6.086455864530509,5.9604093769761874,5.109596219862966,5.0,5.0,5.0,5.0,5.9430283238465815,5.479303657420887,5.0,5.022878745280337,5.0,5.156061243716245,5.2966715314345,5.83889035263304,5.0,5.0,6.4300604567993815,5.0,5.540460953811963,5.0,5.0,5.548605718719519,5.0,5.0,5.578189107369196,5.610924374808178,5.400514997831991,5.0,5.159568040995602,5.0,5.0,8.445210726547806,7.4925298251035315,5.0,5.83889035263304,6.08557772446434,5.0,5.0,7.7221981542508376,5.828788659588897,5.0,5.0,5.873088780645963,5.2134679910804405,5.066323334778673,5.0,5.629818655252878,5.20597718523608,6.090614847582907,5.721848749616356,5.402468439096197,5.922331981267469,6.3979400086720375,5.0,6.494850021680094,,6.3184621504829455,5.0,5.770303756120384,5.2134679910804405,5.479303657420887,5.0,5.4430283238465815,5.0,7.697119750689943,5.0,5.911954370472159,5.397095073509193,5.0,5.0,5.017645268571426,5.0,6.199513552156626,5.146571011465691,5.0,5.2158991379665025,5.0,6.122062572163753,7.408058552246272,5.936974654890088,5.0,8.007632221382545,5.668621084159213,6.9260073396580975,5.3596789043174935,5.0,5.301145900274256,5.0,5.0,5.0,5.0,5.594772705973502,5.0,5.0,5.0,5.753607272093788,5.0,5.0,5.0,5.0,5.860623199523586,5.0,5.0,5.328788659588897,7.595557066320094,7.01343607320015,5.150514997831991,5.0
10127622,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.107471399255692,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.127159576541432,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.058565135369718,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.124121249149449,5.0,6.65817649142176,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
153999,5.0,5.003307066433439,5.1182860032185316,5.426935982160881,5.0,5.793968541520863,5.368403214639263,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.138767284842727,5.0,5.104760447099316,5.0,5.0,5.1050541008457975,5.327428376969242,5.0,5.01410660347237,5.0,6.557319389984244,5.0,5.479303657420887,5.0,5.0,5.0,5.953289157418882,5.527815192267325,6.291386817783402,,5.0,5.879631818230787,5.0,,5.222355834755662,5.0,5.120371515030528,5.0,5.0,5.0,5.0,5.0,5.0,5.064536023880044,5.0,5.0,5.0,5.3979400086720375,5.120371515030528,6.519262717210578,5.411954370472159,5.0,5.0,5.0,5.2046701164537685,5.163951071032141,5.77642098432889,5.0,5.0,5.874180889775894,5.0,5.0,5.0,5.0,5.175101665559182,5.0189301784845295,5.0,5.0,5.0,5.0,5.0,5.0,5.7168390372567295,5.0,5.039794000867204,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.706020623372476,5.0,5.0,5.0,5.0,6.166386562212267,6.139094692393726,5.0,6.211254100081387,7.522824076995442,5.253307066433439,5.0,5.0,5.0,5.0,5.0,5.445884347689703,5.0,8.022878745280337,5.0,5.553962203147359,5.0,5.658509199405735,5.168097127563797,5.234260541478872,5.6566984149642625,5.1259059864969,5.0,5.0,5.0,5.0,5.0,5.8242246377493405,5.0,5.696819961395539,5.0,5.729573182475663,5.0,5.0,5.4604093769761874,5.0,5.0,5.0,5.0,5.0,5.426935982160881,5.117130270739436,5.273685987812887,5.915050672307754,5.545757490560676,5.0,5.075257498915995,5.061088590736736,5.5774509799928715,5.0,5.0,6.029874373465797,5.2158991379665025,5.037628749457998,5.0,5.0,5.0,5.0,,5.1994463443344205,5.593543321678572,5.447415286000334,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.426935982160881,5.434743791501901,5.0,5.0,5.916487139913277,5.319058785283858,5.0,5.057797914370776,5.6338031200885155,5.0,5.0,5.0,5.037185412820231,5.0,5.0,5.0,5.0,5.479303657420887,5.0,5.0,5.026858484877124,5.0,5.114573994178928,5.0,5.270230476905981,5.240075407403261,5.559593203859604,5.202137246383776,6.496177355829047,5.0,5.0,5.0,5.043481299324793,5.426935982160881,5.4430283238465815,5.0,5.0,5.0,5.677288865325454,5.0,5.0,5.301029995663981
156422,5.0,5.0,5.0,5.33889035263304,5.0,5.0,5.1779717923465345,5.0,5.0,5.2134679910804405,5.0,5.0,5.0,5.4604093769761874,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.251343483729017,6.093861620172318,5.0,5.05332999003272,6.8872161432802645,5.349485002168009,5.0,5.0,5.0,5.0,5.0,6.080575454631372,5.0,5.0,,5.263779361753487,5.0,6.568685483410009,,5.0,5.0,6.9878856646158605,5.074370825640463,5.0,5.0,5.0,5.0,5.0,5.1164950007226695,5.2051037789873105,5.546157163540165,5.502182402701225,5.0,5.107949568983251,6.883723434814205,5.0,5.182373275752028,5.0,5.0,6.855083498329723,5.0,6.799299729609228,5.0,5.0,5.0,5.0,5.0,5.0,7.906380690084261,5.0,5.339136830878453,5.0,5.860623199523586,5.240743030061056,6.720046687481943,6.4904418547764635,5.0,5.0,5.0,5.036653154442041,5.346804035820066,5.7997800322585755,5.0,,5.532750774378217,5.0,5.8191360819912035,5.0,5.0,5.0,5.094772705973502,5.0,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.525304996677544,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.747425010840047,5.947244907615013,5.0,5.0,5.238308445794631,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.261439372640169,5.0,5.0,5.4026041211390385,5.0,5.0,5.5,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.839136830878453,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.225866727414628,5.0,5.0,5.0,5.0,5.0,5.395391529979919,6.084230633062659,5.0,6.933452845951605,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.2543191530828635,5.479303657420887,5.0,5.0
151194,5.0,5.0,5.0,5.055517327849831,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.84454718531193,5.0,5.0,5.0,8.017728766960431,5.721246399047171,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.037236374744834,5.0,5.0,,5.0,5.0,7.309894379144197,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.338350712095145,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.568636235841013,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.356547323513812,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.077473594786049,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.585348113584487,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.029796601929802,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
9809715,5.0,7.384520222125715,5.431798275933005,5.0,5.0,6.447074662807428,5.0,5.698970004336019,5.0,7.166273523555023,5.284318117920506,5.0,5.337242168318426,5.0,5.0,5.0,5.586638981061337,5.0,6.501577751870729,7.41369853439507,5.284623988107254,7.779939198406098,7.061939672986604,5.0,5.0,7.200659450546418,8.2839966563652,5.0,5.0,7.67778070526608,5.0,5.0,7.292429823902063,5.0,6.019670210229475,,6.531664264016925,7.929118384862106,5.755724641749778,,5.699241778246322,5.0,7.809894379144197,6.6777807052660805,5.0,5.0,6.444368743170467,7.251811972993799,5.795880017344075,5.0,6.037836424942506,5.1711453577333835,7.091514981121351,8.075720713938118,7.995699914119041,8.685996563018216,5.853871964321762,5.620632404912906,5.0,5.698970004336019,7.700489421461425,7.275724130399211,7.060480747381382,6.853871964321762,5.896587061984075,6.130768280269024,5.0,5.0,6.363383582978477,7.920818753952375,6.113617444995765,6.473268697537272,5.309803919971486,6.229147988357856,7.657577319177793,7.376750709602099,7.494850021680094,5.0,6.996766978875384,6.52874794691596,6.624452127793738,6.178273661756906,5.100343331887994,5.0,,5.0,5.880055801951765,8.346787486224656,6.356547323513812,5.0,5.0,5.0,5.6338031200885155,5.0,5.0,5.3979400086720375,5.0,5.173393743112328,6.721246399047171,5.086545770168585,6.796729909783022,5.0,5.469645130991167,5.0,6.920818753952375,5.0,7.59877150970603,5.0,5.0,5.6858205635056285,5.7134679910804405,6.619788758288394,6.154901959985743,5.110924374808178,6.6777807052660805,7.236830361305078,8.309803919971486,6.113509274827518,5.0,5.0,5.268801001050522,5.0,6.729857807616433,5.0,5.384775539310863,5.0,7.747696614679023,8.443697499232712,5.455931955649724,5.920818753952375,8.387216143280265,5.0,5.0,6.309393133640006,5.275724130399211,5.0,5.4430283238465815,6.118435811600431,6.563456610858033,7.638272163982407,5.0,7.06810073065975,5.719755588462731,5.552841968657781,5.0,6.085026652029182,5.7346368802282015,5.0,5.2134679910804405,5.0,6.091514981121351,5.3808590147986735,5.0,,6.465925944535698,7.443697499232713,5.958607314841775,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.732986946971932,5.0,6.508638306165727,6.72372672602217,5.0,7.721246399047171,5.823917319854943,6.537602002101044,5.431798275933005,5.0,7.221848749616356,5.0,5.6923239215968575,6.091514981121351,7.7645049356785005,5.0,8.744727494896694,5.3606184016679395,5.0,6.422803744937753,5.0,7.744727494896693,6.958607314841775,6.384775539310863,5.143932758644335,6.958607314841775,6.719449308175472,5.0,6.03266570288309,5.0,7.68837535480105,5.587774364981694,6.657577319177793,5.0,5.214670164989233,5.698970004336019,5.6777807052660805,6.522878745280337,5.0,5.0,7.744727494896693
3038525,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.049044185477646,5.0,5.0,,5.0,5.0,5.065619020893974,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.069202770167249,5.0,5.0,5.0,5.0,5.0,5.0,5.0819755355160705,5.0,5.0,5.065002961336576,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.958607314841775,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.947268374821134,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.496893615426149,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
