id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
MTOR	0	1	2549	1	100	100%
LRRK2	1	2	2527	1	100	100%
LRRK2(G2019S)	1	2	2527	0	100.00%	100%
ROS1	2	1	2347	1	100	100%
CIT	3	1	2027	1	100	100%
TRPM6	4	1	2022	1	100	100%
MYLK	5	1	1914	1	100	100%
MRCKA	6	1	1732	1	100	100%
MRCKB	7	1	1711	1	100	100%
GCN2(KinDom2S808G)	8	1	1649	1	100	100%
PIK3C2B	9	1	1634	1	100	100%
ALK	10	1	1620	1	100	100%
MYO3A	11	1	1616	1	100	100%
MAP3K4	12	1	1608	1	100	100%
MAST1	13	1	1570	1	100	100%
DMPK2	14	1	1551	1	100	100%
MAP3K1	15	1	1512	1	100	100%
PIK3C2G	16	1	1445	1	100	100%
DAPK1	17	1	1430	1	100	100%
MST1R	18	1	1400	1	100	100%
MET	19	3	1390	1	100	100%
MET(M1250T)	19	3	1390	0	100.00%	100%
MET(Y1235D)	19	3	1390	0	100.00%	100%
INSR	20	1	1382	1	100	100%
ASK1	21	1	1374	1	100	100%
IGF1R	22	1	1367	1	100	100%
FLT4	23	1	1363	1	100	100%
TNIK	24	1	1360	1	100	100%
VEGFR2	25	1	1356	1	100	100%
ROCK1	26	1	1354	1	100	100%
ERBB3	27	1	1342	1	100	100%
MYO3B	28	1	1341	1	100	100%
FLT1	29	1	1338	1	100	100%
MINK	30	1	1332	1	100	100%
YSK4	31	1	1328	1	100	100%
STK36	32	1	1315	1	100	100%
MAP3K15	33	1	1313	1	100	100%
GAK	34	1	1311	1	100	100%
ERBB4	35	1	1308	1	100	100%
INSRR	36	1	1297	1	100	100%
ASK2	37	1	1288	1	100	100%
MAP4K4	38	1	1273	1	100	100%
QSK	39	1	1263	1	100	100%
NEK1	40	1	1258	1	100	100%
ERBB2	41	1	1255	1	100	100%
SLK	42	1	1235	1	100	100%
TAOK2	43	1	1235	1	100	100%
HIPK3	44	1	1215	1	100	100%
EGFR	45	12	1210	1	100	100%
EGFR(E746A750del)	45	12	1210	0	100.00%	100%
EGFR(G719C)	45	12	1210	0	100.00%	100%
EGFR(G719S)	45	12	1210	0	100.00%	100%
EGFR(L747E749del)	45	12	1210	0	100.00%	100%
EGFR(L747S752del)	45	12	1210	0	100.00%	100%
EGFR(L747T751del)	45	12	1210	0	100.00%	100%
EGFR(L858R)	45	12	1210	0	100.00%	100%
EGFR(L858RT790M)	45	12	1210	0	100.00%	100%
EGFR(L861Q)	45	12	1210	0	100.00%	100%
EGFR(S752I759del)	45	12	1210	0	100.00%	100%
EGFR(T790M)	45	12	1210	0	100.00%	100%
HIPK1	46	1	1210	1	100	100%
HIPK2	47	1	1198	1	100	100%
TYK2(JH1domain-cata	48	2	1187	1	100	100%
TYK2(JH2domain-pseu	48	2	1187	0	100.00%	100%
ABL1(E255K)	49	15	1167	1	100	100%
