Name	SMILES	ClusterNumber
118022461	COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1C	1
58267810	CCOc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4)c3)ncnc2cc1OC	2
11493782	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(-c3ccccc3)nn2)[C@H]1O	3
44368258	NS(=O)(=O)c1ccc(C(=O)NCC(=O)NC(Cc2ccccc2)C(=O)O)cc1	4
44441890	COc1cccc2c1C[C@H]1C[C@@H](C(=O)N3CCN(c4ccccc4F)CC3)CN(C)[C@@H]1C2	5
77890076	O=C(NC1CCCN(Cc2ccccc2)C1)c1ccc2[nH]nc(-c3ccncc3)c2c1	6
2541	CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1	7
121302060	C[C@H](NS(=O)(=O)c1ccc(-c2sc(-c3nnc(CC(C)(C)C(=O)O)o3)nc2CC2CCCCC2)c2ccncc12)C(F)(F)F	8
122186791	CCN1CCC(N2Cc3cccc(C(N)=O)c3C2=O)CC1	9
121426615	Cc1nc2c(N)cc(N3CCOCC3)nn2c1Nc1cccc(C(F)(F)F)c1C	10
121303142	C[C@H]1CCCN1C(=O)c1nc(C(=O)NCC(C)(C)O)sc1-c1ccc(C(O)(C(F)(F)F)C(F)(F)F)c(Cl)c1Cl	11
157736	CCOC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1	12
59053002	NS(=O)(=O)c1cc(C(=O)CSc2ccccc2)ccc1Cl	13
10314719	CC1(C)CCC(C)(C)c2cc(C#Cc3ccc(C(=O)O)cc3)ccc21	14
6083	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	15
10084747	S=C(NCCCc1cnc[nH]1)NCc1ccccc1	16
57403503	Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)[C@@H](N)CCCN(C)C)CC5)CCOCC4)c3Cl)c2n1	17
14514745	CCOc1ccc(NC(=O)NCCCOc2cccc(CN3CCCCC3)c2)cc1	18
69915118	COc1ccc([C@H](C)NC(=O)COc2cc(C(F)(F)F)c3c(C4CC4)nn(C)c3n2)cc1	19
10505721	CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)NCc1ccccc1	20
18944178	O=C(O)CCc1ccccc1Cc1ccccc1-c1nc(C(=O)NCCCCC2CCCCC2)co1	21
66724	O=C(O)c1ccc(-c2ccccc2)cc1	22
134590085	CC(C)C(O)c1nc(-c2cnc(N)c(OC(F)(F)F)c2)cn1C12CC(N3CCOCC3)(C1)C2	23
53259457	O=C1N(Cc2cccc3ccccc23)CCCC12CCN(c1nc3ccccc3[nH]1)CC2	24
56678647	Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4CCOCC4)cc3)nn3cccc23)n[nH]1	25
118022897	COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CCC(S(C)(=O)=O)CC1	26
1221687	c1ccc(Cn2c(-c3ccccc3)nc3ccccc32)cc1	27
44353147	O=C(CCC12CC3CC(CC(C3)C1)C2)Nc1ccc2c[nH]nc2c1	28
24889562	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cccc(OCCN5CCOCC5)c34)cc2)no1	29
44366988	CC(=O)NC1(c2ccccc2)CCN(C2CN(CCC3(c4ccc(Cl)c(Cl)c4)CCC(=O)N(CC4CC4)C3)C2)CC1	30
6013	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O	31
13157412	COc1ccc(CCNCC(O)COc2ccc(-c3nc(C)c[nH]3)cc2)cc1OC	32
118988417	Nc1nc2[nH]c(SCC(=O)c3ccc(Br)cc3)nc2c(=O)[nH]1	33
118735623	O=C(NCc1ccccc1)c1ccc(-c2cc(C(=O)O)nn2-c2ccc(Cl)c(Cl)c2)cc1	34
10475883	c1ncc(CC2CCN(CCCOc3ccc(CN4CCCCC4)cc3)CC2)[nH]1	35
66562795	COC(=O)c1c(O)cc(O)c(Cl)c1CCc1nccn1Cc1ccc(OC)cc1	36
4086	CC(C)NCC(O)c1cc(O)cc(O)c1	37
44395741	O=C(CCCN1CCN(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1	38
44430136	N#C[C@H](COCc1ccccc1)NC(=O)[C@@H](CC(=O)N1CCOCC1)CC1CCCCC1	39
60164585	CN1CCN(c2ccc(Nc3ncc(C(F)(F)F)c(CCc4cccc(C(N)=O)c4)n3)cc2)CC1	40
11379	Nc1ccc2ccccc2n1	41
136058999	CC1(C)CC(=O)C2=C(C1)Nc1n[nH]c(C(F)(F)F)c1C2c1ccccc1C(F)(F)F	42
53317964	CCOc1nc2ccccc2nc1C(=O)Nc1cccnc1	43
137659212	Cc1ccc(S(=O)(=O)N(CC(=O)N2CCC[C@@H](N)C2)c2ccc(C#N)cc2)cc1	44
44459922	C/C(=N/OCC(O)CNC(C)(C)C)C(C)C	45
447268	O=c1[nH]cnc2c(CN3C[C@H](O)[C@@H](CO)C3)c[nH]c12	46
44588157	CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1OC(=O)c1cccc2ccccc12	47
66786902	Cc1ccc(Oc2ccc(-c3ccn4c(CC5CC5)nnc4c3C(F)(F)F)cc2Cl)c(C)n1	48
44342240	CCN(CC)CCCNC(=O)c1ccc(/C=C2\CCn3c2nc2cc(NCCN4CCCC4)c(F)cc2c3=O)cc1	49
155519746	Cc1cc(NC(=O)C2CC(=O)N(c3ccccc3)C2)cc(C)c1S(N)(=O)=O	50
44318775	CS(=O)(=O)N[C@@H](CNC(=O)c1ccc2c(c1)C(=O)N(CCC1CCNCC1)C2)C(=O)O	51
126508314	CCCCNC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1S(=O)(=O)C1CCCCC1	52
44374561	O=C(O)CC/C=C\CO[C@H]1[C@@H](OCc2ccc(-c3ccccc3)cc2)CC[C@@H]1N1CCCCCC1	53
1130	Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1	54
10764530	O=C(O)c1ccc2c(=O)cc(-c3cccc(/C=C/c4ccc5ccccc5n4)c3)oc2c1	55
71720101	CN1CCN(c2ccc(-c3ccncc3)cc2NC(=O)c2ccccc2Cl)CC1	56
6089	CN(C)CCc1c[nH]c2ccccc12	57
137650501	O=C1c2ccccc2NC(c2ccccc2F)N1c1ccc(OCCn2ccnc2-c2ccccc2)cc1	58
44561585	CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OC(=O)c2ccc(C)cc2)[C@@H]1O	59
126079	CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)O)cc3)nc2n(CCC)c1=O	60
2292729	COc1cccc(-c2nc(SCC(=O)Nc3ccc(S(N)(=O)=O)cc3)[nH]c(=O)c2C#N)c1	61
44341782	COc1ccccc1CNCCCCCCN(C)CCCCCCCCN(C)CCCCCCNCc1ccccc1OC	62
16079743	C[C@]1(Cc2ccc(Br)cc2)NC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O	63
