Name	SMILES	ClusterNumber
7568545	CO[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O	1
3343	CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1	2
131633043	O=C1c2ccccc2N[C@@H](c2ccccc2F)N1CCN1CCC(N2C(=O)c3ccccc3N[C@H]2c2ccccc2F)CC1	3
132085608	CC(=O)N1CCN(c2ccc([C@H]3CN([C@H]4CCc5cccc(F)c54)C[C@@H]3N(C)C)cc2)CC1	4
44383465	C/C(=N\OC[C@@H](O)CNC(C)(C)C)C1CC1	5
73160	Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@H](O)C2	6
25180101	C[C@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12	7
10672763	Cc1noc(C)c1S(=O)(=O)N[C@H](CNC(=O)C[C@@H]1CC(c2ccc(C(=N)N)cc2)=NO1)C(=O)O	8
44424581	CCCC[C@H](C)NC[C@@H](O)c1cc(O)cc(O)c1	9
16735492	C[C@@H](Cc1ccc(N)cc1)NC[C@@H](O)c1cc(O)cc(O)c1	10
16735259	COc1ccc(C[C@H](C)NC[C@@H](O)c2cc(O)cc(O)c2)cc1	11
16735276	CCCCC[C@H](C)NC[C@@H](O)c1cc(O)cc(O)c1	12
16737369	C[C@@H](Cc1cccc2ccccc12)NC[C@@H](O)c1cc(O)cc(O)c1	13
123133227	C[C@@H](Cc1cccc(N)c1)NC[C@@H](O)c1cc(O)cc(O)c1	14
16736092	C[C@@H](Cc1ccccc1)NC[C@@H](O)c1cc(O)cc(O)c1	15
16724290	O=c1[nH]cnc2c(CN[C@@H](CO)[C@@H](O)CO)c[nH]c12	16
216345	COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1	17
118022053	COc1nc2ccc(C(O)(c3cnc(C)n3C)C3CN(C(C)=O)C3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1	18
118022003	COc1nc2ccc(C(O)(c3ccnc(C(F)(F)F)c3)c3cnnn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1	19
118022257	COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CC1CCC(F)(F)CC1	20
118022419	COc1nc2ccc(C(O)(c3cnc(C)n3C)C3CCOCC3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1	21
118022852	COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)C3CN(C(C)=O)C3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1	22
118022425	COc1nc2ccc(C(O)(c3ccnc(C(F)(F)F)c3)c3cncn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1	23
118023309	COc1nc2ccc(C(O)(c3cnnn3C)c3cnc(C)n3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1	24
118023081	COc1nc2ccc(C(O)(c3cc(C)nc(C)c3)c3cnnn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1	25
118022811	COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CCC(F)CC1	26
118022609	COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CC(C(F)(F)F)C1	27
118022549	COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1OCc1nccs1	28
118021661	COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CC(F)(F)F	29
118021909	COc1nc2ccc(C(O)(c3cnnn3C)C3CN(C(C)=O)C3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1	30
118022267	COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CCC(n2cccn2)CC1	31
5461010	CCCCCCCCCCC/C=C\CCCCC(=O)[O-]	32
6604035	CC(C)(C)c1ccc([C@@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1	33
44581100	c1cc(OC[C@H]2CN(C3CCCC3)CCO2)ccc1CN1CCOCC1	34
70695511	CC(C)(C)NC[C@H](O)CON=C(C1CC1)C1CC1	35
44299148	CN[C@@H]1CC2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4	36
129030298	CN(C)C(=O)c1cc(C2CCCN2c2cc(F)cc(F)c2)c2nc(N3CCOCC3)cnc2c1	37
129030078	C[C@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)NCCN(C)C)cc2ncc(N3CCOCC3)nc12	38
11623093	c1ccc2c(c1)CCC[C@@H]2Nc1nc2ccccc2[nH]1	39
117968039	C[C@H]1CCc2cc(F)ccc2N1C(=O)c1ccc(O)cc1O	40
14761787	CC(=O)N1CCCC[C@H]1C#CCN1CCCC1	41
14502715	CC(=O)N1CCC[C@@H]1C#CCN1CCCC1	42
14761788	CC(=O)N1CCCCCC1C#CCN1CCCC1	43
54584893	CC(=O)N(C)[C@H](C)C#CCN1CCCC1	44
21138	CC(C)NC[C@@H](O)COc1cccc2ccccc12	45
92766	COC(=O)[C@@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12	46
44479806	O=C(C[C@H]1C/C=C/CCCC(=O)O[C@@H](c2ccccc2)CNC1=O)NCc1ccc(Cl)cc1	47
44480050	O=C(C[C@H]1C/C=C/CCC(=O)O[C@@H](c2ccccc2)CNC1=O)NCc1ccc(Cl)cc1	48
44340255	NCCCC[C@H](NC(=O)[C@H](Cc1ccc(F)c(F)c1)NC(=O)[C@@H]1CCCN1C(=O)CCCCCNC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(N)=O	49
9863341	CC(/C=C/[C@@H]1C[C@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O	50
15852311	O=C(O)CCCC/C=C(\c1ccc(C2=N[C@H](C(=O)NCCCCC3CCCCC3)CO2)cc1)c1cccnc1	51
445575	CC1(C)CCC(C)(C)c2cc([C@@H](O)c3ccc4cc(C(=O)O)ccc4c3)ccc21	52
46236925	Cc1cc2c(C(=O)NC[C@H](C)c3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NC[C@H](C)c3ccccc3)c(O)c(O)cc2c1O	53
9887566	C=CCN1CC[C@H](N(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)[C@H](C)C1	54
138805911	COc1nc2ccc([C@@](O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1CCC(F)(F)F	55
138805909	COc1nc2ccc([C@@](O)(c3ccnc(C(F)(F)F)c3)c3cncn3C)cc2c(Cl)c1CCC(F)(F)F	56
138805907	COc1nc2ccc([C@@](O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1CCC(F)(F)F	57
138805902	COc1nc2ccc([C@@](O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1CC(F)(F)F	58
138805883	COc1nc2ccc([C@@](O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1OCC1CC1	59
138805868	COc1nc2ccc([C@](O)(c3ccc(C#N)cc3)c3cncn3C)cc2c(Cl)c1CC(F)(F)F	60
138805857	COc1nc2ccc([C@@](O)(c3ccnc(C(F)(F)F)c3)c3cncn3C)cc2c(Cl)c1CN1CCC(O)(C(F)(F)F)CC1	61
138805854	COc1nc2ccc([C@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1OCC1CCOCC1	62
138805850	Cc1ccc([C@@](O)(c2ccc3nc(N4CCC4)c(CC(F)(F)F)c(Cl)c3c2)c2cnnn2C)c(C)n1	63
138805848	Cn1cncc1[C@](O)(c1ccc(C(F)(F)F)nc1)c1ccc2nc(Cl)c(CC(F)(F)F)c(N3CCC3)c2c1	64
138805846	Cn1cncc1[C@](O)(c1ccc(C(F)(F)F)nc1)c1ccc2nc(N3CCC3)c(CC(F)(F)F)c(Cl)c2c1	65
138805844	COc1nc2ccc([C@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1C1CCCC1	66
138805842	COc1nc2ccc([C@](O)(c3cnnn3C)c3cnc(C)n3C)cc2c(Cl)c1C1CCCC1	67
138805840	COc1nc2ccc([C@](O)(c3cnnn3C)c3cnc(C)n3C)cc2c(Cl)c1CC(C)C	68
138805838	COc1nc2ccc([C@@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CC(C)C	69
138805836	COc1nc2ccc([C@@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1C(C)C	70
138805809	COc1nc2ccc([C@@](O)(c3ccccc3)C3CCN(C(C)=O)CC3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1	71
138805797	COc1nc2ccc([C@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CCC(F)(F)CC1	72
138805789	COc1nc2ccc([C@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1	73
138805787	COc1nc2ccc([C@@](O)(c3ccccc3)C3CCN(C(C)=O)CC3)cc2c(Cl)c1CN1CCC(n2cccn2)CC1	74
138805785	COc1nc2ccc([C@](O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1CN1CCC(n2cccn2)CC1	75
138805773	CCOc1c(OC)nc2ccc([C@@](O)(c3ccc(Cl)cc3)c3cncn3C)cc2c1Cl	76
138805769	Cn1cncc1[C@](O)(c1ccc(Cl)cc1)c1ccc2nc(N3CCC3)c(OCC(F)(F)F)c(Cl)c2c1	77
138805758	COc1nc2ccc([C@@](O)(c3ccccc3)C3CCN(C(C)=O)CC3)cc2c(Cl)c1OC(C)C	78
138805756	Cc1nc(C)c([C@@](O)(c2ccc3nc(N4CCC4)c(OC(C)C)c(Cl)c3c2)c2cnnn2C)s1	79
138805754	COc1nc2ccc([C@@](O)(c3cnnn3C)c3cnc(C)n3C)cc2c(Cl)c1OC(C)C	80
138805744	COc1nc2ccc([C@@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1OCC1CC1(F)F	81
138805740	COc1nc2ccc([C@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1OC1CCOCC1	82
138805739	COc1nc2ccc([C@@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1OCC1CC1	83
138805737	COc1nc2ccc([C@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1OCc1ncccn1	84
138805734	COc1nc2ccc([C@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1OCC(C)(C)O	85
138805732	CC(C)Oc1c(Cl)nc2ccc([C@](O)(c3ccc(Cl)nc3)c3cncn3C)cc2c1Cl	86
138805730	Cc1ccc([C@@](O)(c2ccc3nc(N4CCC4)c(OC(C)C)c(Cl)c3c2)c2cnnn2C)c(C)n1	87
138805727	COc1nc2ccc([C@@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1OCC1(C)COC1	88
138805723	COc1nc2ccc([C@@](O)(c3ccccc3)C3CCN(C(C)=O)CC3)cc2c(Cl)c1CC1CC1	89
138805721	COc1nc2ccc([C@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CC1CC1	90
138805719	COc1nc2ccc([C@@](O)(c3sc(C)nc3C)c3cnnn3C)cc2c(Cl)c1C	91
138805717	COc1nc2ccc([C@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1C	92
138805715	COc1nc2ccc([C@@](O)(c3ccccc3)C3CCN(C(C)=O)CC3)cc2c(Cl)c1C	93
138805713	COc1nc2ccc([C@](O)(c3ccccc3)C3CCN(C(C)=O)CC3)cc2c(Cl)c1C1CCOCC1	94
138805711	COc1nc2ccc([C@@](O)(c3cncn3C)C3CCN(S(C)(=O)=O)CC3)cc2c(Cl)c1CC1CCOCC1	95
138805709	COc1nc2ccc([C@@](O)(c3cncn3C)C3CCN(C(C)=O)CC3)cc2c(Cl)c1CC1CCOCC1	96
138805707	COc1nc2ccc([C@](O)(c3ccccc3)C3CCN(C(C)=O)CC3)cc2c(Cl)c1CC1CCOCC1	97
58267811	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OC1CCN(C)C1	98
44243259	COc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCCCN1CC[C@@H](O)C1	99
124221434	Cc1cc(Nc2nc([C@H](O)c3ccc(F)cc3)nc3ccccc23)n[nH]1	100
77890076	O=C(NC1CCCN(Cc2ccccc2)C1)c1ccc2[nH]nc(-c3ccncc3)c2c1	101
77890077	O=C(NC1CCCN(Cc2ccccc2F)C1)c1ccc2[nH]nc(-c3ccncc3)c2c1	102
91618233	CSC[C@H](NCc1c[nH]c2c(=O)[nH]cnc12)[C@@H](O)CO	103
49873226	C[C@@H]1c2cccc(C(N)=O)c2C(=O)N1C1CCN(C2CCCCC2)CC1	104
4411	CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2	105
