SMILES,Name,ClusterNumber
CO[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O,7568545,1
CO[C@@H]1OC(CO)[C@H](O)[C@H](O)C1O,58805972,1
CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,76935,1
CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,94214,1
CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@@H]1O,7568471,1
CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,3343,2
C[C@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1,688468,2
C[C@@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1,688467,2
C[C@H](Cc1ccc(O)cc1)NC[C@@H](O)c1cc(O)cc(O)c1,667688,2
C[C@@H](Cc1ccc(O)cc1)NC[C@@H](O)c1cc(O)cc(O)c1,688469,2
O=C1c2ccccc2N[C@@H](c2ccccc2F)N1CCN1CCC(N2C(=O)c3ccccc3N[C@H]2c2ccccc2F)CC1,131633043,3
O=C1c2ccccc2NC(c2ccccc2F)N1CCN1CCC(N2C(=O)c3ccccc3NC2c2ccccc2F)CC1,137655837,3
O=C1c2ccccc2N[C@H](c2ccccc2F)N1CCN1CCC(N2C(=O)c3ccccc3N[C@@H]2c2ccccc2F)CC1,137659247,3
O=C1c2ccccc2N[C@H](c2ccccc2F)N1CCN1CCC(N2C(=O)c3ccccc3N[C@H]2c2ccccc2F)CC1,137645702,3
O=C1c2ccccc2N[C@H](c2ccccc2F)N1C1CCN(CCN2C(=O)c3ccccc3N[C@H]2c2ccccc2F)CC1,137641073,3
CC(=O)N1CCN(c2ccc([C@H]3CN([C@H]4CCc5cccc(F)c54)C[C@@H]3N(C)C)cc2)CC1,132085608,4
CC(=O)N1CCN(c2ccc([C@H]3CN(C4CCc5cccc(F)c54)C[C@@H]3N(C)C)cc2)CC1,132085494,4
CC(=O)N1CCN(c2ccc([C@H]3CN([C@@H]4CCc5cccc(F)c54)C[C@@H]3N(C)C)cc2)CC1,132085621,4
CC(=O)N1CCN(c2ccc([C@@H]3CN([C@H]4CCc5cccc(F)c54)C[C@H]3N(C)C)cc2)CC1,132085691,4
CC(=O)N1CCN(c2ccc([C@@H]3CN([C@@H]4CCc5cccc(F)c54)C[C@H]3N(C)C)cc2)CC1,132085601,4
C/C(=N\OC[C@@H](O)CNC(C)(C)C)C1CC1,44383465,5
C/C(=N\OCC(O)CNC(C)(C)C)C1CC1,6917762,5
C/C(=N/OCC(O)CNC(C)(C)C)C1CC1,5464103,5
C/C(=N\OC[C@H](O)CNC(C)(C)C)C1CC1,9576814,5
Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@H](O)C2,73160,6
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,72276,6
Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@@H](O)C2,182232,6
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,9064,6
C[C@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,25180101,7
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,9926791,7
C[C@@H]1CCN(C(=O)CC#N)C[C@H]1N(C)c1ncnc2[nH]ccc12,9966538,7
C[C@H]1CCN(C(=O)CC#N)C[C@H]1N(C)c1ncnc2[nH]ccc12,20111936,7
Cc1noc(C)c1S(=O)(=O)N[C@H](CNC(=O)C[C@@H]1CC(c2ccc(C(=N)N)cc2)=NO1)C(=O)O,10672763,8
Cc1noc(C)c1S(=O)(=O)N[C@@H](CNC(=O)C[C@H]1CC(c2ccc(C(=N)N)cc2)=NO1)C(=O)O,9812185,8
Cc1noc(C)c1S(=O)(=O)N[C@@H](CNC(=O)C[C@@H]1CC(c2ccc(C(=N)N)cc2)=NO1)C(=O)O,9848512,8
Cc1noc(C)c1S(=O)(=O)N[C@H](CNC(=O)C[C@H]1CC(c2ccc(C(=N)N)cc2)=NO1)C(=O)O,10696463,8
CCCC[C@H](C)NC[C@@H](O)c1cc(O)cc(O)c1,44424581,9
CCCC[C@@H](C)NC[C@H](O)c1cc(O)cc(O)c1,44424578,9
CCCC[C@H](C)NC[C@H](O)c1cc(O)cc(O)c1,44424579,9
CCCC[C@@H](C)NC[C@@H](O)c1cc(O)cc(O)c1,44424580,9
C[C@@H](Cc1ccc(N)cc1)NC[C@@H](O)c1cc(O)cc(O)c1,16735492,10
C[C@H](Cc1ccc(N)cc1)NC[C@H](O)c1cc(O)cc(O)c1,16736094,10
C[C@@H](Cc1ccc(N)cc1)NC[C@H](O)c1cc(O)cc(O)c1,16735263,10
C[C@H](Cc1ccc(N)cc1)NC[C@@H](O)c1cc(O)cc(O)c1,16735493,10
COc1ccc(C[C@H](C)NC[C@@H](O)c2cc(O)cc(O)c2)cc1,16735259,11
COc1ccc(C[C@@H](C)NC[C@H](O)c2cc(O)cc(O)c2)cc1,16735257,11
COc1ccc(C[C@H](C)NC[C@H](O)c2cc(O)cc(O)c2)cc1,16736091,11
COc1ccc(C[C@@H](C)NC[C@@H](O)c2cc(O)cc(O)c2)cc1,16735261,11
CCCCC[C@H](C)NC[C@@H](O)c1cc(O)cc(O)c1,16735276,12
CCCCC[C@@H](C)NC[C@H](O)c1cc(O)cc(O)c1,16735274,12
CCCCC[C@H](C)NC[C@H](O)c1cc(O)cc(O)c1,16735774,12
CCCCC[C@@H](C)NC[C@@H](O)c1cc(O)cc(O)c1,16737587,12
C[C@@H](Cc1cccc2ccccc12)NC[C@@H](O)c1cc(O)cc(O)c1,16737369,13
C[C@H](Cc1cccc2ccccc12)NC[C@H](O)c1cc(O)cc(O)c1,16735495,13
C[C@@H](Cc1cccc2ccccc12)NC[C@H](O)c1cc(O)cc(O)c1,16735272,13
C[C@H](Cc1cccc2ccccc12)NC[C@@H](O)c1cc(O)cc(O)c1,16736096,13
C[C@@H](Cc1cccc(N)c1)NC[C@@H](O)c1cc(O)cc(O)c1,123133227,14
C[C@H](Cc1cccc(N)c1)NC[C@H](O)c1cc(O)cc(O)c1,123133224,14
C[C@@H](Cc1cccc(N)c1)NC[C@H](O)c1cc(O)cc(O)c1,123133225,14
C[C@H](Cc1cccc(N)c1)NC[C@@H](O)c1cc(O)cc(O)c1,123133226,14
C[C@@H](Cc1ccccc1)NC[C@@H](O)c1cc(O)cc(O)c1,16736092,15
C[C@H](Cc1ccccc1)NC[C@H](O)c1cc(O)cc(O)c1,16737411,15
C[C@@H](Cc1ccccc1)NC[C@H](O)c1cc(O)cc(O)c1,16737412,15
C[C@H](Cc1ccccc1)NC[C@@H](O)c1cc(O)cc(O)c1,16735494,15
O=c1[nH]cnc2c(CN[C@@H](CO)[C@@H](O)CO)c[nH]c12,16724290,16
O=c1[nH]cnc2c(CN[C@H](CO)[C@H](O)CO)c[nH]c12,16724046,16
O=c1[nH]cnc2c(CN[C@@H](CO)[C@H](O)CO)c[nH]c12,16724291,16
O=c1[nH]cnc2c(CN[C@H](CO)[C@@H](O)CO)c[nH]c12,16724169,16
COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,216345,17
COc1ccc(C2=N[C@H](c3ccc(Cl)cc3)[C@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,16755649,17
COc1ccc(C2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,11433190,17
COc1nc2ccc(C(O)(c3cnc(C)n3C)C3CN(C(C)=O)C3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,118022053,18
COc1nc2ccc([C@](O)(c3cnc(C)n3C)C3CN(C(C)=O)C3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,138805821,18
COc1nc2ccc([C@@](O)(c3cnc(C)n3C)C3CN(C(C)=O)C3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,138805822,18
COc1nc2ccc(C(O)(c3ccnc(C(F)(F)F)c3)c3cnnn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,118022003,19
COc1nc2ccc([C@](O)(c3ccnc(C(F)(F)F)c3)c3cnnn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,138805830,19
COc1nc2ccc([C@@](O)(c3ccnc(C(F)(F)F)c3)c3cnnn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,138805831,19
COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CC1CCC(F)(F)CC1,118022257,20
COc1nc2ccc([C@@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CC1CCC(F)(F)CC1,138805703,20
COc1nc2ccc([C@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CC1CCC(F)(F)CC1,138805704,20
COc1nc2ccc(C(O)(c3cnc(C)n3C)C3CCOCC3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,118022419,21
COc1nc2ccc([C@](O)(c3cnc(C)n3C)C3CCOCC3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,138805832,21
COc1nc2ccc([C@@](O)(c3cnc(C)n3C)C3CCOCC3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,138805833,21
COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)C3CN(C(C)=O)C3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,118022852,22
COc1nc2ccc([C@](O)(c3ccc(C(F)(F)F)nc3)C3CN(C(C)=O)C3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,138805834,22
COc1nc2ccc([C@@](O)(c3ccc(C(F)(F)F)nc3)C3CN(C(C)=O)C3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,138805835,22
COc1nc2ccc(C(O)(c3ccnc(C(F)(F)F)c3)c3cncn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,118022425,23
COc1nc2ccc([C@@](O)(c3ccnc(C(F)(F)F)c3)c3cncn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,138805782,23
COc1nc2ccc([C@](O)(c3ccnc(C(F)(F)F)c3)c3cncn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,138805783,23
COc1nc2ccc(C(O)(c3cnnn3C)c3cnc(C)n3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,118023309,24
COc1nc2ccc([C@@](O)(c3cnnn3C)c3cnc(C)n3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,138805794,24
COc1nc2ccc([C@](O)(c3cnnn3C)c3cnc(C)n3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,138805795,24
COc1nc2ccc(C(O)(c3cc(C)nc(C)c3)c3cnnn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,118023081,25
COc1nc2ccc([C@](O)(c3cc(C)nc(C)c3)c3cnnn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,138805810,25
COc1nc2ccc([C@@](O)(c3cc(C)nc(C)c3)c3cnnn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,138637160,25
COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CCC(F)CC1,118022811,26
COc1nc2ccc([C@@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CCC(F)CC1,138637314,26
COc1nc2ccc([C@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CCC(F)CC1,138805798,26
COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CC(C(F)(F)F)C1,118022609,27
COc1nc2ccc([C@@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CC(C(F)(F)F)C1,138805806,27
COc1nc2ccc([C@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CC(C(F)(F)F)C1,138805807,27
COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1OCc1nccs1,118022549,28
COc1nc2ccc([C@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1OCc1nccs1,138805745,28
COc1nc2ccc([C@@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1OCc1nccs1,138805746,28
COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CC(F)(F)F,118021661,29
COc1nc2ccc([C@@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CC(F)(F)F,138805851,29
COc1nc2ccc([C@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CC(F)(F)F,138805852,29
COc1nc2ccc(C(O)(c3cnnn3C)C3CN(C(C)=O)C3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,118021909,30
COc1nc2ccc([C@](O)(c3cnnn3C)C3CN(C(C)=O)C3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,138805819,30
COc1nc2ccc([C@@](O)(c3cnnn3C)C3CN(C(C)=O)C3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,138805820,30
COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CCC(n2cccn2)CC1,118022267,31
COc1nc2ccc([C@@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CCC(n2cccn2)CC1,138805792,31
COc1nc2ccc([C@](O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CCC(n2cccn2)CC1,138805793,31
CCCCCCCCCCC/C=C\CCCCC(=O)[O-],5461010,32
CCCCCCCC/C=C\CCCCCCCC(=O)[O-],5460221,32
CCCCCCCC/C=C/CCCCCCCC(=O)[O-],5461071,32
CC(C)(C)c1ccc([C@@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,6604035,33
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,5405,33
CC(C)(C)c1ccc([C@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,7048803,33
c1cc(OC[C@H]2CN(C3CCCC3)CCO2)ccc1CN1CCOCC1,44581100,34
c1cc(OCC2CN(C3CCCC3)CCO2)ccc1CN1CCOCC1,44581060,34
c1cc(OC[C@@H]2CN(C3CCCC3)CCO2)ccc1CN1CCOCC1,25211254,34
CC(C)(C)NC[C@H](O)CON=C(C1CC1)C1CC1,70695511,35
CC(C)(C)NCC(O)CON=C(C1CC1)C1CC1,10467512,35
CC(C)(C)NC[C@@H](O)CON=C(C1CC1)C1CC1,54579961,35
CN[C@@H]1CC2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,44299148,36
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,44259,36
CN[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,451705,36
CN(C)C(=O)c1cc(C2CCCN2c2cc(F)cc(F)c2)c2nc(N3CCOCC3)cnc2c1,129030298,37
CN(C)C(=O)c1cc([C@H]2CCCN2c2cc(F)cc(F)c2)c2nc(N3CCOCC3)cnc2c1,129030296,37
CN(C)C(=O)c1cc([C@@H]2CCCN2c2cc(F)cc(F)c2)c2nc(N3CCOCC3)cnc2c1,129030297,37
C[C@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)NCCN(C)C)cc2ncc(N3CCOCC3)nc12,129030078,38
