Name	SMILES
4740	CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O
444607	Cc1ccc(CNS(=O)(=O)c2ccc(s2)S(N)(=O)=O)cc1
4316	COc1ccc(CNS(=O)(=O)c2ccc(s2)S(N)(=O)=O)cc1
4293	NS(=O)(=O)c1ccc(s1)S(=O)(=O)NCc1cccs1
1611	NS(=O)(=O)c1cc2C(O)CN(Cc3cccs3)S(=O)(=O)c2s1
1612	COc1ccc(cc1)N1CC(O)c2cc(sc2S1(=O)=O)S(N)(=O)=O
4369102	CCN[C@H]1CN(CCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O
68844	CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O
1604	COc1cccc(c1)N1CCc2cc(sc2S1(=O)=O)S(N)(=O)=O
3013848	CN[C@H]1CN(c2cccc(OC)c2)S(=O)(=O)c2sc(cc12)S(N)(=O)=O
4369101	CN[C@@H]1CN(c2cccc(OC)c2)S(=O)(=O)c2sc(cc12)S(N)(=O)=O
1514	COc1cccc(c1)N1C=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O
7370	NS(=O)(=O)c1ccccc1
91895866	NS(=O)(=O)c1ccc(CCNC(=O)c2ccc(CN(CC([O-])=O)CC([O-])=O)cc2)cc1
91895867	NS(=O)(=O)c1ccc(CCNC(=O)c2cccc(NC(=O)CN(CC([O-])=O)CC([O-])=O)c2)cc1
91895868	NS(=O)(=O)c1ccc(cc1)C(=O)NCCOCCOCCN(CC([O-])=O)CC([O-])=O
91895869	NS(=O)(=O)c1ccc(cc1)C(=O)NCCN(CC([O-])=O)CC([O-])=O
5287541	NS(=O)(=O)Oc1ccc2c3CCCCCc3c(=O)oc2c1
446816	Cn1nc(cc1NC(=O)Nc1ccc(Cl)cc1)C(C)(C)C
5228	Fc1ccc(cc1)-c1nc2SCCn2c1-c1ccncc1
156422	Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C
10209208	Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)CO
10114928	Cn1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C
10871761	Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccccc1)C(C)(C)C
23646852	Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1cccc2ccccc12)C(C)(C)C
10185343	CC(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccccc1
9892658	CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccccc1
10229750	Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCc2ccncc2)c2ccccc12)C(C)(C)C
176155	CS(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccc(F)cc1)-c1ccncc1
10863432	O=C(Nc1ccnn1-c1ccccc1)Nc1ccc(OCCN2CCOCC2)c2ccccc12
10231102	CC1(CCCCC1)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccccc1
9936768	Cc1ccc(cn1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C
11731112	CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(Cc2ccccc2)n1
11005825	CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)C1CCCCC1
10896702	CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1cccc(N)c1
11060841	CC(=O)Nc1cccc(c1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C
10256389	CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccc(N)cc1
11731461	CC(=O)Nc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C
10165915	COc1ccc(cn1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C
9850770	Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCS(=O)CC2)c2ccccc12)C(C)(C)C
11049675	Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCCCC2)c2ccccc12)C(C)(C)C
11731102	Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCNCC2)c2ccccc12)C(C)(C)C
10875363	C[C@H]1CN(CCOc2ccc(NC(=O)Nc3cc(nn3-c3ccc(C)cc3)C(C)(C)C)c3ccccc23)C[C@@H](C)O1
11731370	C[C@H]1CN(CCOc2ccc(NC(=O)Nc3cc(nn3-c3ccc(C)cc3)C(C)(C)C)c3ccccc23)C[C@H](C)O1
10143733	Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCSCC2)c2ccccc12)C(C)(C)C
11103319	Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCc2cccnc2)c2ccccc12)C(C)(C)C
10303645	COc1ccc(CCOc2ccc(NC(=O)Nc3cc(nn3-c3ccc(C)cc3)C(C)(C)C)c3ccccc23)cc1OC
10301047	Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCn2ccnc2)c2ccccc12)C(C)(C)C
3973	O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCOCC1
5280343	Oc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O
5281672	Oc1cc(O)c2c(c1)oc(-c1cc(O)c(O)c(O)c1)c(O)c2=O
44259	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13
9909127	NCC(=O)NS(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12
16113695	COc1ccc(Cn2c(CCc3c[nH]c4ccccc34)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)C(C)(C)N)cc1
16114404	COc1ccc(Cn2c(CCc3ccccc3)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)CN)cc1
16113002	COc1ccc(Cn2c(CCc3c[nH]c4ccccc34)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)CN)c(OC)c1
23648239	COc1ccc(Cn2c(CCc3ccccc3)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](N)Cc2ccccc2)cc1
16113371	COc1ccc(Cn2c(CCc3c[nH]c4ccccc34)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCCN2)cc1
16113372	COc1ccc(Cn2c(CCc3c[nH]c4ccccc34)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]2CCCN2)cc1
16114293	COc1ccc(Cn2c(CCc3ccccc3)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCCN2)cc1
16114402	COc1ccc(Cn2c(CCc3ccccc3)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]2CCCN2)cc1
16113001	COc1ccc(Cn2c(CCc3ccccc3)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCCN2)c(OC)c1
23648245	COc1ccc(Cn2c(CCc3ccccc3)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]2CCCNC2)cc1
23644736	COc1ccc(Cn2c(CCc3c[nH]c4ccccc34)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)C2CCCCN2)c(OC)c1
16114403	COc1ccc(Cn2c(CCc3ccccc3)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCCCN2)cc1
16113370	COc1ccc(Cn2c(CCc3c[nH]c4ccccc34)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]2CCCCN2)cc1
15945877	COc1ccc(Cn2c(CCc3ccccc3)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]2CCCCN2)cc1
23644737	COc1ccc(Cn2c(CCc3c[nH]c4ccccc34)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)C2CNCCN2)c(OC)c1
23648258	COc1ccc(Cn2c(CCc3ccccc3)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)C2CCOCC2)cc1
5462471	C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)NCCO
176407	Nc1nc(NCCc2ccc(O)cc2)nc2nc(nn12)-c1ccco1
5265	Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1
24776270	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](NC(=O)c2ccc(C)cc2)[C@H]1OS(O)(=O)=O
24776271	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](NC(=O)c2ccc(C)cc2)[C@H]1OP(O)=O
24776272	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](NC(=O)c2ccc(C)cc2)[C@H]1OP(O)(O)=O
24776273	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](NC(=O)c2ccc(C)cc2)[C@H]1OP(O)(=O)OCc1ccccc1
24776274	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](NC(=O)c2ccc(C)cc2)[C@H]1OC(C)=O
24776275	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](NC(=O)c2ccc(C)cc2)[C@H]1OCc1ccccc1
24776276	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](NC(=O)c2ccc(C)cc2)[C@H]1O
10036019	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
24776277	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1OS(O)(=O)=O
4678093	CCCCCCCCCC([O-])=O
4149208	CCCCCCCCCCCC([O-])=O
22045784	CCCCCCCc1ccc(cc1)C([O-])=O
24860408	CCCCCC\C=C\c1ccc(cc1)C([O-])=O
22173981	CCCCCCCOc1ccc(cc1)C([O-])=O
24860409	CCCCCCCOc1ccc(CC([O-])=O)cc1
54748973	CCCCCCCOc1ccc(cc1O)C([O-])=O
24860412	CCCCCCCOc1ccc(cc1OC)C([O-])=O
24860413	CCCCCCCOc1ccc(cc1[N+]([O-])=O)C([O-])=O
24860415	CCCCCCCOc1ccc(cc1Cl)C([O-])=O
24860417	CCCCCCCOc1cccc(c1)C([O-])=O
226105	OC(=O)CS(=O)c1ccc2-c3ccccc3C(=O)c3cccc1c23
281255	[O-][N+](=O)c1cc2C(=O)c3ccccc3-c2cc1[N+]([O-])=O
332060	OC(=O)CSc1nnc2c3ccccc3c3ccccc3c2n1
3246652	Nc1nc(Sc2ccc([N+]([O-])=O)c3nonc23)c2[nH]cnc2n1
3623732	CC(=O)Nc1cc2C(=O)c3ccccc3-c2cc1[N+]([O-])=O
244578	[O-][N+](=O)c1cc2C(=O)c3ccccc3-c2c(c1)[N+]([O-])=O
245500	[O-][N+](=O)c1cc2C(=O)c3cc(F)ccc3-c2cc1F
94860	[O-][N+](=O)c1ccc-2c(c1)C(=O)C(=O)c1ccccc-21
313619	[O-][N+](=O)c1ccc(Sc2cccc[n+]2[O-])c2nonc12
2685	Cn1cc(nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(c2)C(N)=O)cc1)C(F)(F)F
123686	OC(CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N
4883	CC(C)NCC(O)COc1ccc(NC(C)=O)cc1
6604049	O[C@H](CNCCNC(=O)N1CCOCC1)COc1ccc(O)cc1
2405	CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
60657	CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1
2249	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
6604779	O[C@H](CNCCOc1ccc(OCC(O)=O)cc1)COc1ccccc1
1978	CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O
4171	COCCc1ccc(OCC(O)CNC(C)C)cc1
2687	CC(C)(C)NCC(O)COc1cccc2[nH]c(=O)[nH]c12
3869	CC(CCc1ccccc1)NCC(O)c1ccc(O)c(c1)C(N)=O
2585	COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
4930	CC(C)NCC(O)c1ccc2ccccc2c1
4946	CC(C)NCC(O)COc1cccc2ccccc12
5253	CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
2119	CC(C)NCC(O)COc1ccccc1CC=C
2475	Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1
39147	CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12
5478	CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1
3682	CC(C)NC(C)C(O)COc1ccc(C)c2CCCc12
2083	CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
5403	CC(C)(C)NCC(O)c1cc(O)cc(O)c1
5152	OCc1cc(ccc1O)C(O)CNCCCCCCOCCCCc1ccccc1
5486546	C[C@H](Cc1ccc2OC(Oc2c1)(C(O)=O)C(O)=O)NC[C@H](O)c1cccc(Cl)c1
91369525	CN(C)CCOc1ccc(cc1)-c1nc(c([nH]1)-c1ccc2C(CCc2c1)N=O)-c1ccncc1
9950176	Oc1cc(ccc1Cl)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1
91896047	CC(COc1nccc(n1)-c1nc(c([nH]1)-c1ccc2C(CCc2c1)N=O)-c1ccncc1)N(C)C
91501740	CC(C)(CN)c1nc(c([nH]1)-c1ccc2C(CCc2c1)N=O)-c1ccncc1
73010396	O=NC1CCc2cc(ccc12)-c1[nH]c(nc1-c1ccncc1)C1CCNCC1
91203188	COCCN1CCC(CC1)c1nc(c([nH]1)-c1ccc2C(CCc2c1)N=O)-c1ccncc1
90747418	O=NC1CCc2cc(ccc12)-c1[nH]c(CN2CCOCC2)nc1-c1ccncc1
90709673	O=NC1CCc2cc(ccc12)-c1[nH]c(nc1-c1ccncc1)C(=O)NCCN1CCOCC1
91896048	CN(C)Cc1cccc(NC(=O)c2nc(c([nH]2)-c2ccc3C(CCc3c2)N=O)-c2ccncc2)c1
90803372	CN(C)CCOc1ccc(cc1)-c1cc(c(o1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O
91336164	CN(C)CCOc1ccc(cc1)-c1cc(c([nH]1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O
90842208	CN(C)CCOc1ccc(cc1)-c1cc(c(o1)-c1ccc2C(CCc2c1)N=O)-c1ccncc1
90799884	CN(C)CCOc1ccc(cc1)-c1cc(c([nH]1)-c1ccc2C(CCc2c1)N=O)-c1ccncc1
91126317	O=NC1CCc2cc(ccc12)-c1cc(oc1-c1ccncc1)C1CCNCC1
91427294	COCCN1CCC(CC1)c1cc(c(o1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O
