CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O CHEMBL628
CC(=O)NC(=N)NCCC[C@@H]1NC(=O)[C@H](CCCC(O)=O)NC(=O)[C@H](Cc2cnc[nH]2)N2[C@H](O)C[C@H](NC(=O)[C@H]3CCCN3C1=O)C2=O CHEMBL445236
NS(=O)(=O)c1ccccc1 CHEMBL27601
NS(=O)(=O)c1ccccc1 CHEMBL27601
NS(=O)(=O)Oc1ccc2c3CCCCCc3c(=O)oc2c1 CHEMBL286738
Cn1nc(cc1NC(=O)Nc1ccc(Cl)cc1)C(C)(C)C CHEMBL87277
Fc1ccc(cc1)-c1nc2SCCn2c1-c1ccncc1 CHEMBL313417
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C CHEMBL103667
Cn1nc(cc1NC(=O)Nc1ccc(Cl)cc1)C(C)(C)C CHEMBL87277
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)CO CHEMBL107850
Cn1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C CHEMBL104749
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccccc1)C(C)(C)C CHEMBL315100
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1cccc2ccccc12)C(C)(C)C CHEMBL420047
CC(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccccc1 CHEMBL105248
CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccccc1 CHEMBL318810
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C CHEMBL103667
CS(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccc(F)cc1)-c1ccncc1 CHEMBL10
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)CO CHEMBL107850
O=C(Nc1ccnn1-c1ccccc1)Nc1ccc(OCCN2CCOCC2)c2ccccc12 CHEMBL104119
CC(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccccc1 CHEMBL105248
CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccccc1 CHEMBL318810
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C CHEMBL103667
Cc1ccc(cn1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C CHEMBL104991
Cn1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C CHEMBL104749
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1cccc2ccccc12)C(C)(C)C CHEMBL420047
O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCOCC1 CHEMBL98350
Oc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O CHEMBL50
Oc1cc(O)c2c(c1)oc(-c1cc(O)c(O)c(O)c1)c(O)c2=O CHEMBL164
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 CHEMBL388978
COc1ccc(Cn2c(CCc3c[nH]c4ccccc34)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)C(C)(C)N)cc1 CHEMBL374643
COc1ccc(Cn2c(CCc3c[nH]c4ccccc34)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCCN2)c(OC)c1 CHEMBL253126
CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H]1C(O)=O CHEMBL31421
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)NCCO CHEMBL38874
CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H]1C(O)=O CHEMBL31421
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)NCCO CHEMBL38874
CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H]1C(O)=O CHEMBL31421
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)NCCO CHEMBL38874
CSCC[C@H](NC(=O)[C@H](Cc1ccc(OS(O)(=O)=O)cc1)NC(=O)[C@@H](N)CC(O)=O)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O CHEMBL1121
CSCC[C@H](NC(=O)[C@H](Cc1ccc(OS(O)(=O)=O)cc1)NC(=O)[C@@H](N)CC(O)=O)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O CHEMBL1121
Nc1nc(NCCc2ccc(O)cc2)nc2nc(nn12)-c1ccco1 CHEMBL113142
Nc1nc(NCCc2ccc(O)cc2)nc2nc(nn12)-c1ccco1 CHEMBL113142
Nc1nc(NCCc2ccc(O)cc2)nc2nc(nn12)-c1ccco1 CHEMBL113142
Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1 CHEMBL267930
[O-][N+](=O)c1ccc-2c(c1)C(=O)C(=O)c1ccccc-21 CHEMBL433282
CC(C)NCC(O)COc1ccc(NC(C)=O)cc1 CHEMBL6995
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1 CHEMBL24
COCCc1ccc(OCC(O)CNC(C)C)cc1 CHEMBL13
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12 CHEMBL723
CC(C)NCC(O)COc1cccc2ccccc12 CHEMBL27
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1 CHEMBL471
CC(C)NCC(O)COc1ccccc1CC=C CHEMBL266195
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12 CHEMBL649
CC(C)NCC(O)COc1ccc(NC(C)=O)cc1 CHEMBL6995
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1 CHEMBL24
COCCc1ccc(OCC(O)CNC(C)C)cc1 CHEMBL13
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12 CHEMBL723
CC(C)NCC(O)COc1cccc2ccccc12 CHEMBL27
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1 CHEMBL471
CC(C)NCC(O)COc1ccccc1CC=C CHEMBL266195
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12 CHEMBL649
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1 CHEMBL24
COCCc1ccc(OCC(O)CNC(C)C)cc1 CHEMBL13
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12 CHEMBL723
CC(C)NCC(O)COc1cccc2ccccc12 CHEMBL27
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1 CHEMBL471
CC(C)NCC(O)COc1ccccc1CC=C CHEMBL266195
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12 CHEMBL649
CN(C)CCOc1ccc(cc1)-c1nc(c([nH]1)-c1ccc2C(CCc2c1)N=O)-c1ccncc1 CHEMBL200622
Oc1cc(ccc1Cl)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1 CHEMBL373011
