CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O	CHEMBL628
CC(=O)NC(=N)NCCC[C@@H]1NC(=O)[C@H](CCCC(O)=O)NC(=O)[C@H](Cc2cnc[nH]2)N2[C@H](O)C[C@H](NC(=O)[C@H]3CCCN3C1=O)C2=O	CHEMBL445236
NS(=O)(=O)c1ccccc1	CHEMBL27601
NS(=O)(=O)Oc1ccc2c3CCCCCc3c(=O)oc2c1	CHEMBL286738
Cn1nc(cc1NC(=O)Nc1ccc(Cl)cc1)C(C)(C)C	CHEMBL87277
Fc1ccc(cc1)-c1nc2SCCn2c1-c1ccncc1	CHEMBL313417
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C	CHEMBL103667
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)CO	CHEMBL107850
Cn1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C	CHEMBL104749
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccccc1)C(C)(C)C	CHEMBL315100
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1cccc2ccccc12)C(C)(C)C	CHEMBL420047
CC(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccccc1	CHEMBL105248
CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccccc1	CHEMBL318810
O=C(Nc1ccnn1-c1ccccc1)Nc1ccc(OCCN2CCOCC2)c2ccccc12	CHEMBL104119
Cc1ccc(cn1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C	CHEMBL104991
O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCOCC1	CHEMBL98350
Oc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O	CHEMBL50
Oc1cc(O)c2c(c1)oc(-c1cc(O)c(O)c(O)c1)c(O)c2=O	CHEMBL164
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13	CHEMBL388978
COc1ccc(Cn2c(CCc3c[nH]c4ccccc34)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)C(C)(C)N)cc1	CHEMBL374643
COc1ccc(Cn2c(CCc3c[nH]c4ccccc34)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCCN2)c(OC)c1	CHEMBL253126
CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H]1C(O)=O	CHEMBL31421
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)NCCO	CHEMBL38874
CSCC[C@H](NC(=O)[C@H](Cc1ccc(OS(O)(=O)=O)cc1)NC(=O)[C@@H](N)CC(O)=O)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	CHEMBL1121
Nc1nc(NCCc2ccc(O)cc2)nc2nc(nn12)-c1ccco1	CHEMBL113142
Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1	CHEMBL267930
[O-][N+](=O)c1ccc-2c(c1)C(=O)C(=O)c1ccccc-21	CHEMBL433282
CC(C)NCC(O)COc1ccc(NC(C)=O)cc1	CHEMBL6995
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	CHEMBL24
COCCc1ccc(OCC(O)CNC(C)C)cc1	CHEMBL13
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12	CHEMBL723
CC(C)NCC(O)COc1cccc2ccccc12	CHEMBL27
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1	CHEMBL471
CC(C)NCC(O)COc1ccccc1CC=C	CHEMBL266195
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12	CHEMBL649
CN(C)CCOc1ccc(cc1)-c1nc(c([nH]1)-c1ccc2C(CCc2c1)N=O)-c1ccncc1	CHEMBL200622
Oc1cc(ccc1Cl)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1	CHEMBL373011
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1	CHEMBL939
Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1	CHEMBL104264
CN(CCOc1ccc(Cc2sc(=O)[nH]c2O)cc1)c1ccccn1	CHEMBL121
COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)Nc3cccnc3)c2c1	CHEMBL329480
Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)-c2cccc3[nH]nc(N)c23)c1	CHEMBL223360
CN1CCN(CC1)c1ccc2nc([nH]c2c1)-c1c(N)c2c(F)cccc2[nH]c1=O	CHEMBL522892
COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC	CHEMBL553
CN1CCC([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl	CHEMBL45741
Nc1nc(Nc2ccc(cc2)S(N)(=O)=O)nn1C(=O)c1c(F)cccc1F	CHEMBL191003
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	CHEMBL14762
CN[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13	CHEMBL290084
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C	CHEMBL535
CN1CCN(CC1)c1cc(Nc2cc(C)n[nH]2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1	CHEMBL572878
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1	CHEMBL24828
CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1	CHEMBL215152
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1	CHEMBL296468
OC(=O)c1ccc(Nc2ncc3CN=C(c4cc(Cl)ccc4-c3n2)c2c(F)cccc2F)cc1	CHEMBL259084
Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl	CHEMBL31965CHEMBL545315
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1	CHEMBL1336
COc1cc2c(ncnc2cc1OCCCN1CCCCC1)N1CCN(CC1)C(=O)Nc1ccc(OC(C)C)cc1	CHEMBL124660
OC(=O)c1cc2occc2[nH]1	CHEMBL492591
OC(=O)[C@@H](N1[C@@H](c2ccc(Cl)cc2)C(=O)Nc2ccc(I)cc2C1=O)c1ccc(Cl)cc1	CHEMBL361103
COCC(=O)NC\C=C\c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1	CHEMBL483321
CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1	CHEMBL941
Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1	CHEMBL1421
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1	CHEMBL75232CHEMBL101253
Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	CHEMBL14830
NS(=O)(=O)Cc1noc2ccccc12	CHEMBL750
CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(n1)-c1cccc(N)c1	CHEMBL87580
CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(n1)-c1cccc(c1)[N+]([O-])=O	CHEMBL578172
