id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
Q9H2X6	0	36	1198	1	100	100%
P29597	1	160	1187	1	100	100%
P23458	1	160	1154	0	41.07%	97%
P42684	2	1893	1182	1	100	100%
P00519	2	1893	1130	0	53.72%	95%
P07947	2	1893	543	0	40.52%	45%
P06241	2	1893	537	0	40.04%	45%
P12931	2	1893	536	0	42.16%	45%
P00523	2	1893	533	0	42.59%	45%
P09769	2	1893	529	0	40.45%	44%
P08631	2	1893	526	0	40.49%	44%
P06239	2	1893	509	0	41.26%	43%
P42685	2	1893	505	0	40.00%	42%
P51451	2	1893	505	0	40.79%	42%
P41240	2	1893	450	0	40.00%	38%
Q6ZWH5	3	1	1172	1	100	100%
P20701	4	51	1170	1	100	100%
Q9H2K2	5	8	1166	1	100	100%
Q9Y2K7	6	4	1162	1	100	100%
Q9NSY1	7	139	1161	1	100	100%
Q2M2I8	7	139	961	0	41.83%	82%
Q12809	8	31	1159	1	100	100%
P35228	9	35	1153	1	100	100%
O34453	9	35	363	0	42.42%	31%
P35590	10	140	1138	1	100	100%
Q02763	10	140	1124	0	47.60%	98%
P19754	11	17	1134	1	100	100%
O60674	12	233	1132	1	100	100%
P52333	12	233	1124	0	49.29%	99%
O95835	13	98	1130	1	100	100%
Q9NRM7	13	98	1088	0	47.70%	96%
Q15208	13	98	465	0	41.51%	41%
Q9Y2H1	13	98	464	0	41.16%	41%
G3V9H8	14	192	1115	1	100	100%
P07949	14	192	1114	0	85.37%	99%
P09619	15	248	1106	1	100	100%
Q05030	15	248	1097	0	86.42%	99%
P16234	15	248	1089	0	45.55%	98%
P80192	16	120	1104	1	100	100%
Q02779	16	120	954	0	49.37%	86%
Q16584	16	120	847	0	47.34%	76%
Q7Z2W7	17	2	1104	1	100	100%
Q8R4D5	17	2	1104	0	93.75%	100%
P48736	18	132	1102	1	100	100%
Q93009	19	2	1102	1	100	100%
P26637	20	1	1090	1	100	100%
O43683	21	1	1085	1	100	100%
P56524	22	24	1084	1	100	100%
Q8WUI4	22	24	952	0	44.96%	87%
P42338	23	208	1070	1	100	100%
O00329	23	208	1044	0	55.65%	97%
P42336	24	102	1068	1	100	100%
O95696	25	9	1058	1	100	100%
P52732	26	8	1056	1	100	100%
P29323	27	564	1055	1	100	100%
P54756	27	564	1037	0	46.19%	98%
O15197	27	564	1021	0	41.72%	96%
P29322	27	564	1005	0	51.34%	95%
Q15375	27	564	998	0	57.62%	94%
P54753	27	564	998	0	69.84%	94%
P54760	27	564	987	0	55.93%	93%
P54764	27	564	986	0	58.82%	93%
P54762	27	564	984	0	72.97%	93%
P29320	27	564	983	0	56.56%	93%
P29317	27	564	976	0	49.08%	92%
P21709	27	564	976	0	42.73%	92%
Q05397	28	122	1052	1	100	100%
O75385	29	47	1050	1	100	100%
Q8IYT8	29	47	1036	0	47.59%	98%
O15164	30	7	1050	1	100	100%
P14779	31	1	1049	1	100	100%
O15294	32	28	1046	1	100	100%
Q9HC29	33	1	1040	1	100	100%
P08514	34	114	1039	1	100	100%
Q13873	35	30	1038	1	100	100%
Q07912	36	43	1038	1	100	100%
Q9UF33	37	106	1036	1	100	100%
O76039	38	47	1030	1	100	100%
Q00535	38	47	292	0	41.44%	28%
P09874	39	139	1014	1	100	100%
P11103	39	139	1013	0	92.10%	99%
Q64737	40	1	1010	1	100	100%
Q14289	41	45	1009	1	100	100%
Q13523	42	15	1007	1	100	100%
Q7L7X3	43	76	1001	1	100	100%
Q9H2K8	43	76	898	0	73.61%	89%
P04191	44	12	1001	1	100	100%
Q12866	45	163	999	1	100	100%
P30530	45	163	894	0	43.85%	89%
P36888	46	611	993	1	100	100%
Q16513	47	38	984	1	100	100%
P08235	48	7	984	1	100	100%
Q8TD19	49	16	979	1	100	100%
Q63273	50	39	979	1	100	100%
P22756	50	39	949	0	40.57%	96%
P42260	50	39	908	0	43.94%	92%
O75460	51	21	977	1	100	100%
P10721	52	665	976	1	100	100%
P07333	52	665	972	0	41.46%	99%
O00444	53	76	970	1	100	100%
O94804	54	92	968	1	100	100%
O43283	55	126	966	1	100	100%
Q12852	55	126	859	0	50.87%	88%
Q9UBS5	56	1	961	1	100	100%
Q9Y239	57	1	953	1	100	100%
P10253	58	2	952	1	100	100%
Q58F21	59	17	947	1	100	100%
Q99558	60	1	947	1	100	100%
Q16512	61	42	942	1	100	100%
Q05586	62	2	938	1	100	100%
P35439	62	2	938	0	99.25%	100%
P06401	63	12	933	1	100	100%
Q6XUX3	64	19	929	1	100	100%
Q01062	65	1	928	1	100	100%
Q9H0K1	66	110	926	1	100	100%
P57059	66	110	783	0	44.32%	84%
O14936	67	12	926	1	100	100%
O95398	68	4	923	1	100	100%
P10275	69	23	920	1	100	100%
P15207	69	23	902	0	83.15%	98%
Q969R2	70	2	916	1	100	100%
Q08345	71	113	913	1	100	100%
Q63474	71	113	910	0	94.07%	99%
Q15139	72	111	912	1	100	100%
O94806	72	111	890	0	70.56%	97%
Q9BZL6	72	111	878	0	52.28%	96%
O00222	73	46	908	1	100	100%
Q14416	73	46	872	0	45.18%	96%
Q6V1X1	74	4	898	1	100	100%
Q8IVH8	75	63	894	1	100	100%
Q06418	76	46	890	1	100	100%
Q8NEB9	77	14	887	1	100	100%
P42262	78	5	883	1	100	100%
P19491	78	5	883	0	99.55%	100%
O76074	79	6	875	1	100	100%
P0AES4	80	7	875	1	100	100%
Q99814	81	54	870	1	100	100%
O15146	82	43	869	1	100	100%
P29376	83	47	864	1	100	100%
P07813	84	10	860	1	100	100%
P45974	85	8	858	1	100	100%
P33981	86	69	857	1	100	100%
P04578	87	27	856	1	100	100%
P35961	87	27	843	0	85.88%	98%
Q16832	88	94	855	1	100	100%
O60341	89	88	852	1	100	100%
P30561	90	11	848	1	100	100%
P35869	90	11	848	0	72.41%	100%
P42226	91	3	847	1	100	100%
P15498	92	1	845	1	100	100%
P51957	93	5	841	1	100	100%
Q16288	94	122	839	1	100	100%
Q16620	94	122	822	0	56.33%	97%
Q8NER1	95	6	839	1	100	100%
O35433	95	6	838	0	86.04%	99%
O00206	96	1	839	1	100	100%
Q99062	97	2	836	1	100	100%
Q59H18	98	55	835	1	100	100%
Q92918	99	107	833	1	100	100%
Q12851	99	107	820	0	44.15%	98%
P57078	100	20	832	1	100	100%
Q92831	101	14	832	1	100	100%
Q03330	101	14	439	0	41.00%	52%
P11362	102	330	822	1	100	100%
P21802	102	330	821	0	72.23%	99%
P22607	102	330	806	0	64.14%	98%
P22455	102	330	802	0	57.61%	97%
P16591	103	75	822	1	100	100%
P07332	103	75	822	0	51.22%	100%
Q32MK0	104	110	819	1	100	100%
Q9H1R3	104	110	596	0	43.62%	72%
Q86YV6	104	110	388	0	57.99%	47%
Q13164	105	481	816	1	100	100%
Q63844	105	481	380	0	48.95%	46%
P27361	105	481	379	0	47.76%	46%
O15264	105	481	365	0	41.92%	44%
Q15759	105	481	364	0	44.78%	44%
Q16539	105	481	360	0	44.17%	44%
P47811	105	481	360	0	44.17%	44%
P28482	105	481	360	0	49.72%	44%
P63085	105	481	358	0	50.28%	43%
Q9UBF8	106	29	816	1	100	100%
P00747	107	24	810	1	100	100%
P07477	107	24	247	0	42.91%	30%
Q29463	107	24	247	0	41.70%	30%
P00760	107	24	246	0	40.24%	30%
Q08499	108	5	809	1	100	100%
Q07343	108	5	736	0	69.43%	90%
P41148	109	407	804	1	100	100%
Q29092	109	407	804	0	98.38%	100%
P14625	109	407	803	0	98.01%	99%
P07900	109	407	732	0	46.72%	91%
P08238	109	407	724	0	47.93%	90%
P02829	109	407	709	0	49.22%	88%
P0AES6	110	6	804	1	100	100%
O75582	111	119	802	1	100	100%
O75676	111	119	772	0	64.38%	96%
P25440	112	114	801	1	100	100%
Q15059	112	114	726	0	49.45%	90%
Q9NYL2	113	54	800	1	100	100%
Q8TF76	114	1	798	1	100	100%
P04629	115	120	796	1	100	100%
Q9P0L2	116	105	795	1	100	100%
