id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
Q9H2X6	0	36	1198	1	100	100%
P29597	1	76	1187	1	100	100%
P42684	2	81	1182	1	100	100%
Q6ZWH5	3	1	1172	1	100	100%
P20701	4	51	1170	1	100	100%
Q9H2K2	5	8	1166	1	100	100%
Q9Y2K7	6	4	1162	1	100	100%
Q9NSY1	7	65	1161	1	100	100%
Q12809	8	31	1159	1	100	100%
P23458	9	84	1154	1	100	100%
P35228	10	11	1153	1	100	100%
P35590	11	73	1138	1	100	100%
P19754	12	17	1134	1	100	100%
O60674	13	134	1132	1	100	100%
P00519	14	913	1130	1	100	100%
O95835	15	35	1130	1	100	100%
Q02763	16	67	1124	1	100	100%
P52333	17	99	1124	1	100	100%
G3V9H8	18	192	1115	1	100	100%
P07949	18	192	1114	0	85.37%	99%
P09619	19	135	1106	1	100	100%
Q05030	19	135	1097	0	86.42%	99%
P80192	20	46	1104	1	100	100%
Q7Z2W7	21	2	1104	1	100	100%
Q8R4D5	21	2	1104	0	93.75%	100%
P48736	22	132	1102	1	100	100%
Q93009	23	2	1102	1	100	100%
P26637	24	1	1090	1	100	100%
P16234	25	113	1089	1	100	100%
Q9NRM7	26	32	1088	1	100	100%
O43683	27	1	1085	1	100	100%
P56524	28	3	1084	1	100	100%
P42338	29	58	1070	1	100	100%
P42336	30	102	1068	1	100	100%
O95696	31	9	1058	1	100	100%
P52732	32	8	1056	1	100	100%
P29323	33	45	1055	1	100	100%
Q05397	34	122	1052	1	100	100%
O75385	35	22	1050	1	100	100%
O15164	36	7	1050	1	100	100%
P14779	37	1	1049	1	100	100%
O15294	38	28	1046	1	100	100%
O00329	39	150	1044	1	100	100%
Q9HC29	40	1	1040	1	100	100%
P08514	41	114	1039	1	100	100%
Q13873	42	30	1038	1	100	100%
Q07912	43	43	1038	1	100	100%
P54756	44	48	1037	1	100	100%
Q9UF33	45	106	1036	1	100	100%
Q8IYT8	46	25	1036	1	100	100%
O76039	47	14	1030	1	100	100%
O15197	48	48	1021	1	100	100%
P09874	49	139	1014	1	100	100%
