id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
Q9H2X6	0	33	1198	1	100	100%
P29597	1	152	1187	1	100	100%
P23458	1	152	1154	0	41.07%	97%
P42684	2	1800	1182	1	100	100%
P00519	2	1800	1130	0	53.72%	95%
P07947	2	1800	543	0	40.52%	45%
P06241	2	1800	537	0	40.04%	45%
P12931	2	1800	536	0	42.16%	45%
P00523	2	1800	533	0	42.59%	45%
P09769	2	1800	529	0	40.45%	44%
P08631	2	1800	526	0	40.49%	44%
P06239	2	1800	509	0	41.26%	43%
P42685	2	1800	505	0	40.00%	42%
P51451	2	1800	505	0	40.79%	42%
P41240	2	1800	450	0	40.00%	38%
Q6ZWH5	3	1	1172	1	100	100%
P20701	4	48	1170	1	100	100%
Q9H2K2	5	6	1166	1	100	100%
Q9NSY1	6	127	1161	1	100	100%
Q2M2I8	6	127	961	0	41.83%	82%
Q12809	7	31	1159	1	100	100%
P35228	8	35	1153	1	100	100%
O34453	8	35	363	0	42.42%	31%
P35590	9	130	1138	1	100	100%
Q02763	9	130	1124	0	47.60%	98%
O60674	10	221	1132	1	100	100%
P52333	10	221	1124	0	49.29%	99%
O95835	11	91	1130	1	100	100%
Q9NRM7	11	91	1088	0	47.70%	96%
Q15208	11	91	465	0	41.51%	41%
Q9Y2H1	11	91	464	0	41.16%	41%
G3V9H8	12	180	1115	1	100	100%
P07949	12	180	1114	0	85.37%	99%
P09619	13	236	1106	1	100	100%
Q05030	13	236	1097	0	86.42%	99%
P16234	13	236	1089	0	45.55%	98%
P80192	14	105	1104	1	100	100%
Q02779	14	105	954	0	49.37%	86%
Q16584	14	105	847	0	47.34%	76%
Q7Z2W7	15	2	1104	1	100	100%
Q8R4D5	15	2	1104	0	93.75%	100%
P48736	16	132	1102	1	100	100%
Q93009	17	2	1102	1	100	100%
P26637	18	1	1090	1	100	100%
O43683	19	1	1085	1	100	100%
P56524	20	24	1084	1	100	100%
Q8WUI4	20	24	952	0	44.96%	87%
P42338	21	208	1070	1	100	100%
O00329	21	208	1044	0	55.65%	97%
P42336	22	101	1068	1	100	100%
O95696	23	9	1058	1	100	100%
P52732	24	8	1056	1	100	100%
P29323	25	559	1055	1	100	100%
P54756	25	559	1037	0	46.19%	98%
O15197	25	559	1021	0	41.72%	96%
P29322	25	559	1005	0	51.34%	95%
Q15375	25	559	998	0	57.62%	94%
P54753	25	559	998	0	69.84%	94%
P54760	25	559	987	0	55.93%	93%
P54764	25	559	986	0	58.82%	93%
P54762	25	559	984	0	72.97%	93%
P29320	25	559	983	0	56.56%	93%
P29317	25	559	976	0	49.08%	92%
P21709	25	559	976	0	42.73%	92%
Q05397	26	120	1052	1	100	100%
O75385	27	45	1050	1	100	100%
Q8IYT8	27	45	1036	0	47.59%	98%
O15164	28	7	1050	1	100	100%
P14779	29	1	1049	1	100	100%
O15294	30	28	1046	1	100	100%
P08514	31	114	1039	1	100	100%
Q13873	32	29	1038	1	100	100%
Q07912	33	40	1038	1	100	100%
Q9UF33	34	106	1036	1	100	100%
O76039	35	47	1030	1	100	100%
Q00535	35	47	292	0	41.44%	28%
P09874	36	137	1014	1	100	100%
P11103	36	137	1013	0	92.10%	99%
Q14289	37	39	1009	1	100	100%
Q13523	38	13	1007	1	100	100%
Q7L7X3	39	74	1001	1	100	100%
Q9H2K8	39	74	898	0	73.61%	89%
P04191	40	1	1001	1	100	100%
Q12866	41	153	999	1	100	100%
P30530	41	153	894	0	43.85%	89%
P36888	42	581	993	1	100	100%
Q16513	43	33	984	1	100	100%
P08235	44	7	984	1	100	100%
Q8TD19	45	16	979	1	100	100%
Q63273	46	39	979	1	100	100%
P22756	46	39	949	0	40.57%	96%
P42260	46	39	908	0	43.94%	92%
O75460	47	19	977	1	100	100%
P10721	48	637	976	1	100	100%
P07333	48	637	972	0	41.46%	99%
O00444	49	70	970	1	100	100%
O94804	50	88	968	1	100	100%
O43283	51	122	966	1	100	100%
Q12852	51	122	859	0	50.87%	88%
Q9UBS5	52	1	961	1	100	100%
Q9Y239	53	1	953	1	100	100%
P10253	54	2	952	1	100	100%
Q58F21	55	17	947	1	100	100%
Q99558	56	1	947	1	100	100%
Q16512	57	37	942	1	100	100%
Q05586	58	2	938	1	100	100%
P35439	58	2	938	0	99.25%	100%
P06401	59	11	933	1	100	100%
Q6XUX3	60	18	929	1	100	100%
Q01062	61	1	928	1	100	100%
Q9H0K1	62	99	926	1	100	100%
P57059	62	99	783	0	44.32%	84%
O14936	63	11	926	1	100	100%
O95398	64	4	923	1	100	100%
P10275	65	23	920	1	100	100%
P15207	65	23	902	0	83.15%	98%
Q969R2	66	2	916	1	100	100%
Q08345	67	108	913	1	100	100%
Q63474	67	108	910	0	94.07%	99%
Q15139	68	103	912	1	100	100%
O94806	68	103	890	0	70.56%	97%
Q9BZL6	68	103	878	0	52.28%	96%
O00222	69	46	908	1	100	100%
Q14416	69	46	872	0	45.18%	96%
Q6V1X1	70	4	898	1	100	100%
Q8IVH8	71	58	894	1	100	100%
Q06418	72	44	890	1	100	100%
Q8NEB9	73	14	887	1	100	100%
P42262	74	5	883	1	100	100%
P19491	74	5	883	0	99.55%	100%
O76074	75	6	875	1	100	100%
P0AES4	76	7	875	1	100	100%
Q99814	77	54	870	1	100	100%
O15146	78	43	869	1	100	100%
P29376	79	44	864	1	100	100%
P07813	80	10	860	1	100	100%
P45974	81	8	858	1	100	100%
P33981	82	65	857	1	100	100%
Q16832	83	93	855	1	100	100%
O60341	84	88	852	1	100	100%
P30561	85	11	848	1	100	100%
P35869	85	11	848	0	72.41%	100%
P42226	86	3	847	1	100	100%
P35961	87	26	843	1	100	100%
P51957	88	5	841	1	100	100%
Q16288	89	112	839	1	100	100%
Q16620	89	112	822	0	56.33%	97%
Q8NER1	90	4	839	1	100	100%
O00206	91	1	839	1	100	100%
